id,gene_id,gene_name,KO
23_65,K05416,C-X-C motif chemokine 9,K05416
23_66,K03798,cell division protease FtsH [EC:3.4.24.-],K03798
23_67,K07688,"two-component system, NarL family, response regulator, fimbrial Z protein, FimZ",K07688
23_68,K09825,"Fur family transcriptional regulator, peroxide stress response regulator",K09825
23_69,K03495,tRNA uridine 5-carboxymethylaminomethyl modification enzyme,K03495
23_7,K03801,lipoyl(octanoyl) transferase [EC:2.3.1.181],K03801
23_70,K02242,competence protein ComFC,K02242
23_71,23_71,,none
23_72,K09122,uncharacterized protein,K09122
23_73,23_73,,none
23_74,K07052,uncharacterized protein,K07052
23_75,K07264,4-amino-4-deoxy-L-arabinose transferase [EC:2.4.2.43],K07264
23_76,K14340,mannosyltransferase [EC:2.4.1.-],K14340
23_77,K22305,phosphoserine phosphatase [EC:3.1.3.3],K22305
23_78,K05366,penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4],K05366
23_79,K08994,ion channel-forming bestrophin family protein,K08994
23_8,K05808,putative sigma-54 modulation protein,K05808
23_80,23_80,,none
23_81,K10001,glutamate/aspartate transport system substrate-binding protein,K10001
23_82,K17677,ATP-dependent helicase IRC3 [EC:3.6.4.-],K17677
23_83,K07405,alpha-amylase [EC:3.2.1.1],K07405
23_84,K11271,sister chromatid cohesion protein DCC1,K11271
23_85,23_85,,none
23_86,23_86,,none
23_87,23_87,,none
23_88,K07308,anaerobic dimethyl sulfoxide reductase subunit C,K07308
23_89,23_89,,none
23_9,K17872,demethylphylloquinone reductase [EC:1.6.5.12],K17872
23_90,K15918,D-glycerate 3-kinase [EC:2.7.1.31],K15918
23_91,K00845,glucokinase [EC:2.7.1.2],K00845
23_92,K07339,mRNA interferase HicA [EC:3.1.-.-],K07339
23_93,K18843,antitoxin HicB,K18843
23_94,K18843,antitoxin HicB,K18843
23_95,K22615,NLR family CARD domain containing 5,K22615
24_1,K18235,virginiamycin B lyase [EC:4.2.99.-],K18235
25_1,K14683,solute carrier family 34 (sodium-dependent phosphate cotransporter),K14683
25_10,25_10,,none
25_11,K07065,uncharacterized protein,K07065
25_12,K02040,phosphate transport system substrate-binding protein,K02040
25_13,K16898,ATP-dependent helicase/nuclease subunit A [EC:3.1.-.- 3.6.4.12],K16898
25_14,25_14,,none
25_15,K18831,HTH-type transcriptional regulator / antitoxin HigA,K18831
25_16,K07334,toxin HigB-1,K07334
25_17,K05572,NAD(P)H-quinone oxidoreductase subunit 1 [EC:7.1.1.2],K05572
25_18,K05580,NAD(P)H-quinone oxidoreductase subunit I [EC:7.1.1.2],K05580
25_19,K05578,NAD(P)H-quinone oxidoreductase subunit 6 [EC:7.1.1.2],K05578
25_2,K18154,regulator of G-protein signaling 2,K18154
25_20,K05576,NAD(P)H-quinone oxidoreductase subunit 4L [EC:7.1.1.2],K05576
25_21,K05205,"glutamate receptor, ionotropic kainate 5",K05205
25_22,K18893,"ATP-binding cassette, subfamily B, multidrug efflux pump",K18893
25_23,K00384,thioredoxin reductase (NADPH) [EC:1.8.1.9],K00384
25_24,K07053,"3',5'-nucleoside bisphosphate phosphatase [EC:3.1.3.97]",K07053
25_25,K07496,putative transposase,K07496
25_26,K16258,mxaK protein,K16258
25_27,K03744,LemA protein,K03744
25_28,K03924,MoxR-like ATPase [EC:3.6.3.-],K03924
25_29,K07114,Ca-activated chloride channel homolog,K07114
25_3,K21402,2-O-methyltransferase [EC:2.1.1.-],K21402
25_30,K06384,stage II sporulation protein M,K06384
25_31,K07496,putative transposase,K07496
25_32,K08471,gustatory receptor,K08471
25_33,K07706,"two-component system, LytTR family, sensor histidine kinase AgrC [EC:2.7.13.3]",K07706
25_34,K04033,"AraC family transcriptional regulator, ethanolamine operon transcriptional activator",K04033
25_35,K19277,aminoglycoside 3-N-acetyltransferase VI [EC:2.3.1.81],K19277
25_36,K03548,putative permease,K03548
25_37,25_37,,none
25_38,K09970,general L-amino acid transport system permease protein,K09970
25_39,K09969,general L-amino acid transport system substrate-binding protein,K09969
25_4,K12909,carboxyvinyl-carboxyphosphonate phosphorylmutase [EC:2.7.8.23],K12909
25_40,K03556,"LuxR family transcriptional regulator, maltose regulon positive regulatory protein",K03556
25_41,K21084,diguanylate cyclase [EC:2.7.7.65],K21084
25_42,25_42,,none
25_43,25_43,,none
25_44,25_44,,none
25_45,25_45,,none
25_46,K04037,light-independent protochlorophyllide reductase subunit L [EC:1.3.7.7],K04037
25_47,K17534,mitogen-activated protein kinase kinase kinase MLK4 [EC:2.7.11.25],K17534
25_48,K04038,light-independent protochlorophyllide reductase subunit N [EC:1.3.7.7],K04038
25_49,25_49,,none
25_5,K02551,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9],K02551
25_50,25_50,,none
25_51,25_51,,none
25_52,25_52,,none
25_53,K14340,mannosyltransferase [EC:2.4.1.-],K14340
25_54,K11781,5-amino-6-(D-ribitylamino)uracil---L-tyrosine 4-hydroxyphenyl transferase [EC:2.5.1.147],K11781
25_55,K09454,"GA-binding protein transcription factor, beta",K09454
25_56,25_56,,none
25_57,K01154,"type I restriction enzyme, S subunit [EC:3.1.21.3]",K01154
25_58,K03427,type I restriction enzyme M protein [EC:2.1.1.72],K03427
25_59,K06168,tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3],K06168
25_6,K01436,amidohydrolase [EC:3.5.1.-],K01436
25_60,K06381,stage II sporulation protein D,K06381
25_7,25_7,,none
25_8,K02413,flagellar FliJ protein,K02413
25_9,K02837,peptide chain release factor 3,K02837
26_1,K07496,putative transposase,K07496
27_1,K16247,"LuxR family transcriptional regulator, glucitol operon activator",K16247
27_10,K04043,molecular chaperone DnaK,K04043
27_100,K01515,ADP-ribose pyrophosphatase [EC:3.6.1.13],K01515
27_101,27_101,,none
27_102,27_102,,none
27_103,27_103,,none
27_104,27_104,,none
27_105,K07336,PKHD-type hydroxylase [EC:1.14.11.-],K07336
27_106,K17318,putative aldouronate transport system substrate-binding protein,K17318
27_107,K23321,aspirochlorine biosynthesis cytochrome P450 monooxygenase [EC:1.-.-.-],K23321
27_108,K07502,uncharacterized protein,K07502
27_109,K01125,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase [EC:3.1.4.45],K01125
27_11,K10260,F-box and WD-40 domain protein 7,K10260
27_110,K21703,"LysR family transcriptional regulator, low CO2-responsive transcriptional regulator",K21703
27_111,27_111,,none
27_112,27_112,,none
27_113,27_113,,none
27_114,K07260,zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14],K07260
27_115,WP_006106163.1,SWIM zinc finger family protein,none
27_116,K01062,platelet-activating factor acetylhydrolase [EC:3.1.1.47],K01062
27_117,K07317,adenine-specific DNA-methyltransferase [EC:2.1.1.72],K07317
27_118,27_118,,none
27_119,27_119,,none
27_12,K18843,antitoxin HicB,K18843
27_120,27_120,,none
27_121,K03789,[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266],K03789
27_122,K03676,glutaredoxin 3,K03676
27_123,K03637,cyclic pyranopterin monophosphate synthase [EC:4.6.1.17],K03637
27_124,K23734,lipoyl(octanoyl) transferase [EC:2.3.1.181],K23734
27_125,K02008,cobalt/nickel transport system permease protein,K02008
27_126,K02009,cobalt/nickel transport protein,K02009
27_127,K02007,cobalt/nickel transport system permease protein,K02007
27_128,K03442,small conductance mechanosensitive channel,K03442
27_129,27_129,,none
27_13,K07485,transposase,K07485
27_130,K18843,antitoxin HicB,K18843
27_131,K02493,release factor glutamine methyltransferase [EC:2.1.1.297],K02493
27_132,WP_002755148.1,hypothetical protein,none
27_133,WP_002755148.1,hypothetical protein,none
27_134,K10950,ERO1-like protein alpha [EC:1.8.4.-],K10950
27_135,27_135,,none
27_136,27_136,,none
27_137,K01693,imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19],K01693
27_138,K00817,histidinol-phosphate aminotransferase [EC:2.6.1.9],K00817
27_139,K18649,inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase / histidinol-phosphatase [EC:3.1.3.25 3.1.3.93 3.1.3.15],K18649
27_14,K07459,putative ATP-dependent endonuclease of the OLD family,K07459
27_140,K03529,chromosome segregation protein,K03529
27_141,K22881,polyhydroxyalkanoate synthase subunit PhaE,K22881
27_142,K09568,FK506-binding protein 1 [EC:5.2.1.8],K09568
27_143,K01619,deoxyribose-phosphate aldolase [EC:4.1.2.4],K01619
27_144,K15352,secreted effector protein PipB2,K15352
27_145,K06860,putative heme uptake system protein,K06860
27_146,K01011,thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2],K01011
27_147,K04757,serine/threonine-protein kinase RsbW [EC:2.7.11.1],K04757
27_148,K07315,phosphoserine phosphatase RsbU/P [EC:3.1.3.3],K07315
27_149,K04749,anti-sigma B factor antagonist,K04749
27_15,K09742,uncharacterized protein,K09742
27_150,K06994,putative drug exporter of the RND superfamily,K06994
27_151,K03470,ribonuclease HII [EC:3.1.26.4],K03470
27_152,K06180,23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23],K06180
27_153,K00609,aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2],K00609
27_154,27_154,,none
27_155,K16834,sclerostin,K16834
27_156,K03790,[ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267],K03790
27_157,K13797,DNA-directed RNA polymerase subunit beta-beta' [EC:2.7.7.6],K13797
27_158,K03043,DNA-directed RNA polymerase subunit beta [EC:2.7.7.6],K03043
27_159,K03424,TatD DNase family protein [EC:3.1.21.-],K03424
27_16,K18843,antitoxin HicB,K18843
27_160,K02968,small subunit ribosomal protein S20,K02968
27_161,K11931,"poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase [EC:3.5.1.-]",K11931
27_162,K07171,mRNA interferase MazF [EC:3.1.-.-],K07171
27_163,27_163,,none
27_164,K06714,arginine utilization regulatory protein,K06714
27_165,OGW03363.1,toxin HicA,none
27_166,K18843,antitoxin HicB,K18843
27_167,K07172,antitoxin MazE,K07172
27_168,K18841,mRNA interferase ChpB [EC:3.1.-.-],K18841
27_169,27_169,,none
27_17,K19157,mRNA interferase YafQ [EC:3.1.-.-],K19157
27_170,27_170,,none
27_171,27_171,,none
27_172,27_172,,none
27_173,K18843,antitoxin HicB,K18843
27_174,K07339,mRNA interferase HicA [EC:3.1.-.-],K07339
27_175,K00548,5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13],K00548
27_176,K07491,putative transposase,K07491
27_177,K09761,16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193],K09761
27_178,27_178,,none
27_179,K01008,"selenide, water dikinase [EC:2.7.9.3]",K01008
27_18,K16525,A-kinase anchor protein 8,K16525
27_180,K05811,putative lipoprotein,K05811
27_181,27_181,,none
27_182,K02706,photosystem II P680 reaction center D2 protein [EC:1.10.3.9],K02706
27_183,K05575,NAD(P)H-quinone oxidoreductase subunit 4 [EC:7.1.1.2],K05575
27_184,K05577,NAD(P)H-quinone oxidoreductase subunit 5 [EC:7.1.1.2],K05577
27_185,K05575,NAD(P)H-quinone oxidoreductase subunit 4 [EC:7.1.1.2],K05575
27_186,27_186,,none
27_187,K05569,multicomponent Na+:H+ antiporter subunit E,K05569
27_188,K03321,"sulfate permease, SulP family",K03321
27_189,K07494,putative transposase,K07494
27_19,K03218,23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185],K03218
27_190,K07499,putative transposase,K07499
27_191,K07499,putative transposase,K07499
27_192,K07495,putative transposase,K07495
27_193,K03321,"sulfate permease, SulP family",K03321
27_194,K18828,tRNA(fMet)-specific endonuclease VapC [EC:3.1.-.-],K18828
27_195,K01509,adenosinetriphosphatase [EC:3.6.1.3],K01509
27_196,K01875,seryl-tRNA synthetase [EC:6.1.1.11],K01875
27_197,K22450,aralkylamine N-acetyltransferase [EC:2.3.1.87],K22450
27_198,K03568,TldD protein,K03568
27_199,27_199,,none
27_2,K03008,DNA-directed RNA polymerase II subunit RPB11,K03008
27_20,K11145,ribonuclease III family protein [EC:3.1.26.-],K11145
27_200,K01838,beta-phosphoglucomutase [EC:5.4.2.6],K01838
27_201,27_201,,none
27_202,K07494,putative transposase,K07494
27_203,K07499,putative transposase,K07499
27_204,K07496,putative transposase,K07496
27_205,K08130,tsukushi (leucine-rich repeat-containing protein 54),K08130
27_206,K01892,histidyl-tRNA synthetase [EC:6.1.1.21],K01892
27_207,K12541,"ATP-binding cassette, subfamily C, bacterial LapB",K12541
27_208,K16052,MscS family membrane protein,K16052
27_209,K18811,"cyclin D5, plant",K18811
27_21,K04749,anti-sigma B factor antagonist,K04749
27_210,K03787,5'-nucleotidase [EC:3.1.3.5],K03787
27_211,K02583,tumor necrosis factor receptor superfamily member 16,K02583
27_212,K08844,leucine-rich repeat kinase 2 [EC:2.7.11.1],K08844
27_213,K14673,putative monooxygenase,K14673
27_214,K04077,chaperonin GroEL,K04077
27_215,27_215,,none
27_216,K00558,DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],K00558
27_217,WP_027400890.1,HindVP family restriction endonuclease,none
27_218,K07494,putative transposase,K07494
27_219,K07494,putative transposase,K07494
27_22,K02860,16S rRNA processing protein RimM,K02860
27_220,K14597,chlorobactene glucosyltransferase,K14597
27_221,K08977,bisanhydrobacterioruberin hydratase [EC:4.2.1.161],K08977
27_222,K02207,ubiquitin-conjugating enzyme E2 R [EC:2.3.2.23],K02207
27_223,K01788,N-acylglucosamine-6-phosphate 2-epimerase [EC:5.1.3.9],K01788
27_224,K11356,"two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]",K11356
27_225,K02230,cobaltochelatase CobN [EC:6.6.1.2],K02230
27_226,27_226,,none
27_227,K10260,F-box and WD-40 domain protein 7,K10260
27_23,K01991,polysaccharide biosynthesis/export protein,K01991
27_24,K19285,FMN reductase (NADPH) [EC:1.5.1.38],K19285
27_25,WP_015226925.1,photosystem II reaction center protein Ycf12,none
27_26,27_26,,none
27_27,27_27,,none
27_28,27_28,,none
27_29,K05844,ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-],K05844
27_3,K18829,antitoxin VapB,K18829
27_30,K06987,uncharacterized protein,K06987
27_31,K01733,threonine synthase [EC:4.2.3.1],K01733
27_32,K00940,nucleoside-diphosphate kinase [EC:2.7.4.6],K00940
27_33,K03394,precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151],K03394
27_34,K07496,putative transposase,K07496
27_35,K07496,putative transposase,K07496
27_36,27_36,,none
27_37,27_37,,none
27_38,K12005,tripartite motif-containing protein 15,K12005
27_39,K19169,DNA sulfur modification protein DndB,K19169
27_4,K18828,tRNA(fMet)-specific endonuclease VapC [EC:3.1.-.-],K18828
27_40,27_40,,none
27_41,K19169,DNA sulfur modification protein DndB,K19169
27_42,K19169,DNA sulfur modification protein DndB,K19169
27_43,K19169,DNA sulfur modification protein DndB,K19169
27_44,K07454,putative restriction endonuclease,K07454
27_45,K19170,DNA sulfur modification protein DndC,K19170
27_46,27_46,,none
27_47,27_47,,none
27_48,K19171,DNA sulfur modification protein DndD,K19171
27_49,K19172,DNA sulfur modification protein DndE,K19172
27_5,K19881,Chs5-Arf1p-binding protein BUD7/BCH1,K19881
27_50,K02986,small subunit ribosomal protein S4,K02986
27_51,K00010,myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369],K00010
27_52,K19701,aminopeptidase YwaD [EC:3.4.11.6 3.4.11.10],K19701
27_53,K00784,ribonuclease Z [EC:3.1.26.11],K00784
27_54,27_54,,none
27_55,K23178,eupatolide synthase [EC:1.14.14.169],K23178
27_56,27_56,,none
27_57,K11265,adenylate cyclase 10 [EC:4.6.1.1],K11265
27_58,K02001,glycine betaine/proline transport system permease protein,K02001
27_59,K02002,glycine betaine/proline transport system substrate-binding protein,K02002
27_6,K04564,"superoxide dismutase, Fe-Mn family [EC:1.15.1.1]",K04564
27_60,K02000,glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9],K02000
27_61,K02945,small subunit ribosomal protein S1,K02945
27_62,27_62,,none
27_63,K01868,threonyl-tRNA synthetase [EC:6.1.1.3],K01868
27_64,K01963,acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15],K01963
27_65,K13830,pentafunctional AROM polypeptide [EC:4.2.3.4 4.2.1.10 1.1.1.25 2.7.1.71 2.5.1.19],K13830
27_66,K01046,triacylglycerol lipase [EC:3.1.1.3],K01046
27_67,K11312,cupin 2 domain-containing protein,K11312
27_68,K04042,bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157],K04042
27_69,K04035,magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase [EC:1.14.13.81],K04035
27_7,K04017,formate-dependent nitrite reductase complex subunit NrfF,K04017
27_70,K18875,enhanced disease susceptibility 1 protein,K18875
27_71,27_71,,none
27_72,K06413,stage V sporulation protein K,K06413
27_73,K06413,stage V sporulation protein K,K06413
27_74,27_74,,none
27_75,K02233,adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26],K02233
27_76,27_76,,none
27_77,K10679,nitroreductase / dihydropteridine reductase [EC:1.-.-.- 1.5.1.34],K10679
27_78,K09744,uncharacterized protein,K09744
27_79,K09667,protein O-GlcNAc transferase [EC:2.4.1.255],K09667
27_8,K02242,competence protein ComFC,K02242
27_80,K15536,soluble cytochrome b562,K15536
27_81,K12478,early endosome antigen 1,K12478
27_82,K12448,UDP-arabinose 4-epimerase [EC:5.1.3.5],K12448
27_83,K23753,polyphosphate kinase (ADP) [EC:2.7.4.-],K23753
27_84,27_84,,none
27_85,K07495,putative transposase,K07495
27_86,K07499,putative transposase,K07499
27_87,K07494,putative transposase,K07494
27_88,27_88,,none
27_89,27_89,,none
27_9,K09667,protein O-GlcNAc transferase [EC:2.4.1.255],K09667
27_90,K00948,ribose-phosphate pyrophosphokinase [EC:2.7.6.1],K00948
27_91,K12454,CDP-paratose 2-epimerase [EC:5.1.3.10],K12454
27_92,K15762,toluene monooxygenase system ferredoxin subunit,K15762
27_93,27_93,,none
27_94,K03803,sigma-E factor negative regulatory protein RseC,K03803
27_95,K20480,"HTH-type transcriptional regulator, quorum sensing regulator NprR",K20480
27_96,K03862,vanillate monooxygenase [EC:1.14.13.82],K03862
27_97,27_97,,none
27_98,K00145,N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38],K00145
27_99,K01159,crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4],K01159
28_1,WP_012180248.1,carboxypeptidase regulatory-like domain-containing protein,none
28_2,K07499,putative transposase,K07499
28_3,K07494,putative transposase,K07494
29_1,29_1,,none
29_10,K03581,exodeoxyribonuclease V alpha subunit [EC:3.1.11.5],K03581
29_11,29_11,,none
29_12,K07110,"XRE family transcriptional regulator, fatty acid utilization regulator",K07110
29_13,K15600,putative hydroxymethylpyrimidine transport system ATP-binding protein,K15600
29_14,K07171,mRNA interferase MazF [EC:3.1.-.-],K07171
29_15,WP_071103062.1,HNH endonuclease,none
29_16,29_16,,none
29_17,K04763,integrase/recombinase XerD,K04763
29_18,29_18,,none
29_19,K19430,pyridoxal phosphate-dependent aminotransferase EpsN [EC:2.6.1.-],K19430
29_2,K07495,putative transposase,K07495
29_20,K19449,"XRE family transcriptional regulator, master regulator for biofilm formation",K19449
29_21,AJD51064.1,HicB family protei,none
29_22,29_22,,none
29_23,K06359,response regulator aspartate phosphatase A (stage 0 sporulation protein L) [EC:3.1.-.-],K06359
29_24,K07491,putative transposase,K07491
29_25,K08322,L-gulonate 5-dehydrogenase [EC:1.1.1.380],K08322
29_26,K10407,kinesin light chain,K10407
29_27,MBB4383362.1,transposase,none
29_28,K21107,medium-chain-fatty-acid---[acyl-carrier-protein] ligase [EC:6.2.1.47],K21107
29_29,29_29,,none
29_3,K20487,"two-component system, OmpR family, lantibiotic biosynthesis sensor histidine kinase NisK/SpaK [EC:2.7.13.3]",K20487
29_30,RUS97094.1,hypothetical protein DSM107003_18350,none
29_31,K07495,putative transposase,K07495
29_32,29_32,,none
29_33,29_33,,none
29_34,29_34,,none
29_35,29_35,,none
29_36,K16406,stigmatellin polyketide synthase StiB,K16406
29_37,K02339,DNA polymerase III subunit chi [EC:2.7.7.7],K02339
29_38,K03745,SlyX protein,K03745
29_39,29_39,,none
29_4,K03496,chromosome partitioning protein,K03496
29_40,K19556,salmonella plasmid virulence protein A,K19556
29_41,29_41,,none
29_42,29_42,,none
29_43,29_43,,none
29_44,29_44,,none
29_45,29_45,,none
29_46,K04759,ferrous iron transport protein B,K04759
29_47,K13994,photosynthetic reaction center PufX protein,K13994
29_48,K07222,putative flavoprotein involved in K+ transport,K07222
29_49,K02234,cobalamin biosynthesis protein CobW,K02234
29_5,K03497,"ParB family transcriptional regulator, chromosome partitioning protein",K03497
29_50,29_50,,none
29_51,K00986,RNA-directed DNA polymerase [EC:2.7.7.49],K00986
29_52,29_52,,none
29_53,K18843,antitoxin HicB,K18843
29_54,K10947,"PadR family transcriptional regulator, regulatory protein PadR",K10947
29_55,K07095,uncharacterized protein,K07095
29_56,29_56,,none
29_57,PFT76015.1,hypothetical protein COK74_25880,none
29_6,29_6,,none
29_7,K10706,senataxin [EC:3.6.4.-],K10706
29_8,K07496,putative transposase,K07496
29_9,K19687,antitoxin VapB,K19687
3_1,3_1,,none
3_10,K03187,urease accessory protein,K03187
3_100,K20402,DEP domain-containing mTOR-interacting protein,K20402
3_101,K14606,lycopene cyclase CruP [EC:5.5.1.19],K14606
3_102,K00943,dTMP kinase [EC:2.7.4.9],K00943
3_103,K07136,uncharacterized protein,K07136
3_104,K18234,virginiamycin A acetyltransferase [EC:2.3.1.-],K18234
3_105,K03827,putative acetyltransferase [EC:2.3.1.-],K03827
3_106,K03686,molecular chaperone DnaJ,K03686
3_107,K00392,sulfite reductase (ferredoxin) [EC:1.8.7.1],K00392
3_108,K03453,"bile acid:Na+ symporter, BASS family",K03453
3_109,K07725,CRISPR-associated protein Csa3,K07725
3_11,3_11,,none
3_110,3_110,,none
3_111,3_111,,none
3_112,3_112,,none
3_113,K07481,"transposase, IS5 family",K07481
3_114,K03655,ATP-dependent DNA helicase RecG [EC:3.6.4.12],K03655
3_115,3_115,,none
3_116,3_116,,none
3_117,K19007,lysophosphatidiate acyltransferase [EC:2.3.1.51],K19007
3_118,3_118,,none
3_119,3_119,,none
3_12,K00930,acetylglutamate kinase [EC:2.7.2.8],K00930
3_120,3_120,,none
3_121,K20563,cytochrome P450 family 750 subfamily B polypeptide 1,K20563
3_122,K07259,serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-],K07259
3_123,K11749,regulator of sigma E protease [EC:3.4.24.-],K11749
3_124,K00852,ribokinase [EC:2.7.1.15],K00852
3_125,K10914,"CRP/FNR family transcriptional regulator, cyclic AMP receptor protein",K10914
3_126,K04771,serine protease Do [EC:3.4.21.107],K04771
3_127,K00826,branched-chain amino acid aminotransferase [EC:2.6.1.42],K00826
3_128,3_128,,none
3_129,3_129,,none
3_13,K03525,type III pantothenate kinase [EC:2.7.1.33],K03525
3_130,K05888,"L-gulono-1,4-lactone dehydrogenase [EC:1.1.2.-]",K05888
3_131,K20712,3-(hydroxyamino)phenol mutase [EC:5.4.4.3],K20712
3_132,K02005,HlyD family secretion protein,K02005
3_133,K06267,hyaluronan-mediated motility receptor,K06267
3_134,K10372,"troponin T, slow skeletal muscle",K10372
3_135,K03587,cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4],K03587
3_136,K06504,CD72 antigen,K06504
3_137,3_137,,none
3_138,K22451,4-alpha-glucanotransferase [EC:2.4.1.25],K22451
3_139,K18244,acyl-CoA dehydrogenase [EC:1.3.99.-],K18244
3_14,K22615,NLR family CARD domain containing 5,K22615
3_140,K13614,polyketide synthase PksN,K13614
3_141,K19294,alginate O-acetyltransferase complex protein AlgI,K19294
3_142,K17872,demethylphylloquinone reductase [EC:1.6.5.12],K17872
3_143,K07706,"two-component system, LytTR family, sensor histidine kinase AgrC [EC:2.7.13.3]",K07706
3_144,3_144,,none
3_145,K22241,biogenesis of lysosome-related organelles complex 1 subunit SNN1,K22241
3_146,3_146,,none
3_147,3_147,,none
3_148,K03657,DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12],K03657
3_149,3_149,,none
3_15,3_15,,none
3_150,K19781,"ATP-dependent DNA helicase HMI1, mitochondrial [EC:3.6.4.12]",K19781
3_151,K07429,cytochrome P450 family 4 subfamily Z [EC:1.14.14.1],K07429
3_152,K18843,antitoxin HicB,K18843
3_153,K00558,DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],K00558
3_154,3_154,,none
3_155,K19449,"XRE family transcriptional regulator, master regulator for biofilm formation",K19449
3_156,K07391,magnesium chelatase family protein,K07391
3_157,K05955,protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha [EC:2.5.1.58 2.5.1.59],K05955
3_158,K03592,PmbA protein,K03592
3_159,3_159,,none
3_16,3_16,,none
3_160,K06985,aspartyl protease family protein,K06985
3_161,3_161,,none
3_162,K16247,"LuxR family transcriptional regulator, glucitol operon activator",K16247
3_163,K07496,putative transposase,K07496
3_164,K00784,ribonuclease Z [EC:3.1.26.11],K00784
3_165,K01649,2-isopropylmalate synthase [EC:2.3.3.13],K01649
3_166,K18992,"TetR/AcrR family transcriptional regulator, cmeABC operon repressor",K18992
3_167,K00558,DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37],K00558
3_168,K03408,purine-binding chemotaxis protein CheW,K03408
3_169,K06596,chemosensory pili system protein ChpA (sensor histidine kinase/response regulator),K06596
3_17,3_17,,none
3_170,BBH38472.1,transposase,none
3_171,3_171,,none
3_172,3_172,,none
3_173,EAM51338.1,similar to Transposase,none
3_174,K11526,"two-component system, chemotaxis family, sensor histidine kinase and response regulator PixL",K11526
3_175,K02660,twitching motility protein PilJ,K02660
3_176,K23222,nuclease HARBI1 [EC:3.1.-.-],K23222
3_177,K07718,"two-component system, sensor histidine kinase YesM [EC:2.7.13.3]",K07718
3_178,K02659,twitching motility protein PilI,K02659
3_179,K02658,twitching motility two-component system response regulator PilH,K02658
3_18,K17979,mitochondrial distribution and morphology protein 31,K17979
3_180,K02657,twitching motility two-component system response regulator PilG,K02657
3_181,K15352,secreted effector protein PipB2,K15352
3_182,K11526,"two-component system, chemotaxis family, sensor histidine kinase and response regulator PixL",K11526
3_183,K01563,haloalkane dehalogenase [EC:3.8.1.5],K01563
3_184,K14331,fatty aldehyde decarbonylase [EC:4.1.99.5],K14331
3_185,3_185,,none
3_186,K09602,ubiquitin thioesterase protein OTUB1 [EC:3.4.19.12],K09602
3_187,3_187,,none
3_188,3_188,,none
3_189,3_189,,none
3_19,K03695,ATP-dependent Clp protease ATP-binding subunit ClpB,K03695
3_190,K07497,putative transposase,K07497
3_191,K07132,ATP-dependent target DNA activator [EC:3.6.1.3],K07132
3_192,3_192,,none
3_193,3_193,,none
3_194,3_194,,none
3_195,3_195,,none
3_196,3_196,,none
3_197,3_197,,none
3_198,K03530,DNA-binding protein HU-beta,K03530
3_199,3_199,,none
3_2,3_2,,none
3_20,K07339,mRNA interferase HicA [EC:3.1.-.-],K07339
3_200,K06192,paraquat-inducible protein B,K06192
3_201,K03552,holliday junction resolvase Hjr [EC:3.1.22.4],K03552
3_202,3_202,,none
3_203,3_203,,none
3_204,K21523,"terminase, large subunit [EC:3.1.-.-]",K21523
3_205,3_205,,none
3_206,3_206,,none
