yourlist:M20210906A084FC58F6BBA219896F365D15F2EB441956986	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs
WP_048867732.1	A0A0C2R2K5	A0A0C2R2K5_9CYAN	unreviewed	Uncharacterized protein	SD80_08770	Scytonema tolypothrichoides VB-61278	174		
WP_028949250.1	A0A068MTD3	A0A068MTD3_SYNY4	unreviewed	Uncharacterized protein	D082_06750	Synechocystis sp. (strain PCC 6714) (Aphanocapsa sp. (strain PCC 6714))	562		
WP_007306087.1	Q4C272	Q4C272_CROWT	unreviewed	PNP_UDP_1 domain-containing protein	CwatDRAFT_2760	Crocosphaera watsonii WH 8501	245	catalytic activity [GO:0003824]; nucleoside metabolic process [GO:0009116]	GO:0003824; GO:0009116
WP_023073539.1	U9W6F6	U9W6F6_9CYAN	unreviewed	Response regulator receiver protein	N836_10925	Leptolyngbya sp. Heron Island J	413	phosphorelay signal transduction system [GO:0000160]	GO:0000160
WP_012627419.1	B8HTA8	B8HTA8_CYAP4	unreviewed	Glutaminase (EC 3.5.1.2)	glsA Cyan7425_1969	Cyanothece sp. (strain PCC 7425 / ATCC 29141)	318	glutaminase activity [GO:0004359]; glutamine metabolic process [GO:0006541]	GO:0004359; GO:0006541
WP_068508976.1	A0A110AVE5	A0A110AVE5_9CYAN	unreviewed	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	cbbS O77CONTIG1_01324	Leptolyngbya sp. O-77	118	ribulose-bisphosphate carboxylase activity [GO:0016984]	GO:0016984
WP_012595481.1	B7K066	B7K066_RIPO1	unreviewed	"Transposase, IS605 OrfB family"	PCC8801_2185	Rippkaea orientalis (strain PCC 8801) (Cyanothece sp. (strain PCC 8801))	401	DNA binding [GO:0003677]; DNA recombination [GO:0006310]; transposition [GO:0032196]	GO:0003677; GO:0006310; GO:0032196
WP_069968297.1	A0A1E5QHB0	A0A1E5QHB0_9CYAN	unreviewed	Precorrin-4 C(11)-methyltransferase	BH720_16380	Desertifilum sp. IPPAS B-1220	271	precorrin-4 C11-methyltransferase activity [GO:0046026]; cobalamin biosynthetic process [GO:0009236]; methylation [GO:0032259]	GO:0009236; GO:0032259; GO:0046026
WP_007307495.1	Q4BXX4	Q4BXX4_CROWT	unreviewed	Uncharacterized protein (Fragment)	CwatDRAFT_1381	Crocosphaera watsonii WH 8501	185		
WP_044106418.1	A0A077JEQ6	A0A077JEQ6_9CYAN	unreviewed	Uncharacterized protein	ETSB_0874	cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	74	integral component of membrane [GO:0016021]	GO:0016021
WP_015213937.1	K9ZEX7	K9ZEX7_ANACC	unreviewed	NHL repeat containing protein	Anacy_1799	Anabaena cylindrica (strain ATCC 27899 / PCC 7122)	385		
WP_010994420.1	A0A1Z4KQG3	A0A1Z4KQG3_ANAVA	unreviewed	Uncharacterized protein	NIES23_40300	Trichormus variabilis NIES-23	97		
WP_010994420.1	Q8Z058	Q8Z058_NOSS1	unreviewed	Asr0243 protein	asr0243	Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)	97		
WP_015207972.1	K9WWZ0	K9WWZ0_9NOST	unreviewed	Photosystem II reaction center protein T (PSII-T)	psbT Cylst_2509	Cylindrospermum stagnale PCC 7417	34	integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]	GO:0009539; GO:0015979; GO:0016021; GO:0031676
WP_021831912.1	T2IJP7	T2IJP7_CROWT	unreviewed	"Potassium uptake protein, integral membrane component, KtrB"	CWATWH8502_62	Crocosphaera watsonii WH 8502	454	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; potassium:chloride symporter activity [GO:0015379]	GO:0005886; GO:0015379; GO:0016021
WP_015184948.1	K9WK67	K9WK67_9CYAN	unreviewed	"K+ transport system, NAD-binding component"	Mic7113_5159	Microcoleus sp. PCC 7113	231	cation transmembrane transporter activity [GO:0008324]; potassium ion transport [GO:0006813]	GO:0006813; GO:0008324
WP_024969909.1	A0A2H6L2R9	A0A2H6L2R9_MICAE	unreviewed	Zinc-binding CMP/dCMP deaminase	myaer87_15860	Microcystis aeruginosa NIES-87	178	dCMP deaminase activity [GO:0004132]; zinc ion binding [GO:0008270]; pyrimidine nucleotide metabolic process [GO:0006220]	GO:0004132; GO:0006220; GO:0008270
WP_024969909.1	A0A5J5LRY2	A0A5J5LRY2_MICAE	unreviewed	dCMP deaminase family protein	EZJ55_07005	Microcystis aeruginosa EAWAG127a	178	dCMP deaminase activity [GO:0004132]; zinc ion binding [GO:0008270]; pyrimidine nucleotide metabolic process [GO:0006220]	GO:0004132; GO:0006220; GO:0008270
WP_023067451.1	U7QEK6	U7QEK6_9CYAN	unreviewed	Cysteine dioxygenase type I family protein	M595_3694	Lyngbya aestuarii BL J	207	dioxygenase activity [GO:0051213]	GO:0051213
WP_002792488.1	I4HJP9	I4HJP9_MICAE	unreviewed	BFN domain-containing protein	MICAG_1700004	Microcystis aeruginosa PCC 9808	166	nuclease activity [GO:0004518]	GO:0004518
WP_016879302.1	A0A3S0ZIE3	A0A3S0ZIE3_CHLFR	unreviewed	Uncharacterized protein	PCC6912_56420	Chlorogloeopsis fritschii PCC 6912	1319	integral component of membrane [GO:0016021]	GO:0016021
WP_015142371.1	K9T0U7	K9T0U7_9CYAN	unreviewed	Uncharacterized protein	Ple7327_0630	Pleurocapsa sp. PCC 7327	99		
WP_073643036.1	A0A1U7I483	A0A1U7I483_9NOSO	unreviewed	Sec-independent protein translocase protein TatC	tatC FACHB389_22600	Nostoc calcicola FACHB-389	264	integral component of plasma membrane [GO:0005887]; TAT protein transport complex [GO:0033281]; protein transmembrane transporter activity [GO:0008320]; protein transport by the Tat complex [GO:0043953]	GO:0005887; GO:0008320; GO:0033281; GO:0043953
WP_021836517.1	T2JE03	T2JE03_CROWT	unreviewed	S-methyl-5'-thioadenosine phosphorylase (EC 2.4.2.28) (5'-methylthioadenosine phosphorylase) (MTA phosphorylase) (MTAP)	mtnP CWATWH0401_3770	Crocosphaera watsonii WH 0401	291	S-methyl-5-thioadenosine phosphorylase activity [GO:0017061]; L-methionine salvage from methylthioadenosine [GO:0019509]; purine ribonucleoside salvage [GO:0006166]	GO:0006166; GO:0017061; GO:0019509
WP_045360085.1	A0A0A1VWK5	A0A0A1VWK5_MICAE	unreviewed	Uncharacterized protein	N44_02700	Microcystis aeruginosa NIES-44	87		
WP_002770316.1	I4G7M5	I4G7M5_MICAE	unreviewed	Similar to tr|Q55514|Q55514	MICAC_5180004	Microcystis aeruginosa PCC 9443	254		
WP_068382089.1	A0A0S3U061	A0A0S3U061_9CYAN	unreviewed	Undecaprenyl-phosphate galactose phosphotransferase	LEP3755_13750	Leptolyngbya sp. NIES-3755	236	integral component of membrane [GO:0016021]; transferase activity [GO:0016740]	GO:0016021; GO:0016740
WP_046661503.1	A0A0F6RKC5	A0A0F6RKC5_MICAE	unreviewed	Uncharacterized protein	MYAER_1364	Microcystis aeruginosa NIES-2549	224	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]	GO:0004176; GO:0004222; GO:0005524; GO:0016021
WP_046661503.1	A0A6H9HBN7	A0A6H9HBN7_MICAE	unreviewed	Uncharacterized protein	NIES3806_37320	Microcystis aeruginosa NIES-3806	224	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]	GO:0004176; GO:0004222; GO:0005524; GO:0016021
WP_012408178.1	B2IZM7	B2IZM7_NOSP7	unreviewed	DUF4915 domain-containing protein	Npun_F1456	Nostoc punctiforme (strain ATCC 29133 / PCC 73102)	364		
WP_006527682.1	L8LPJ9	L8LPJ9_9CHRO	unreviewed	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	panB GLO73106DRAFT_00033600	Gloeocapsa sp. PCC 73106	255	cytoplasm [GO:0005737]; 3-methyl-2-oxobutanoate hydroxymethyltransferase activity [GO:0003864]; metal ion binding [GO:0046872]; methyltransferase activity [GO:0008168]; methylation [GO:0032259]; pantothenate biosynthetic process [GO:0015940]	GO:0003864; GO:0005737; GO:0008168; GO:0015940; GO:0032259; GO:0046872
WP_007305756.1	Q4C365	Q4C365_CROWT	unreviewed	Uncharacterized protein	CwatDRAFT_3553	Crocosphaera watsonii WH 8501	307		
WP_042790659.1	A0A3N0WEV4	A0A3N0WEV4_MICAE	unreviewed	Uncharacterized protein	ED562_11200	Microcystis aeruginosa FACHB-524	215		
WP_012598914.1	B7K9K1	SYP_GLOC7	reviewed	Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)	proS PCC7424_1529	Gloeothece citriformis (strain PCC 7424) (Cyanothece sp. (strain PCC 7424))	600	cytoplasm [GO:0005737]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; proline-tRNA ligase activity [GO:0004827]; prolyl-tRNA aminoacylation [GO:0006433]	GO:0002161; GO:0004827; GO:0005524; GO:0005737; GO:0006433
WP_015152706.1	A0A2T1FFI0	A0A2T1FFI0_9CHRO	unreviewed	Prephenate dehydrogenase/arogenate dehydrogenase family protein	C7B80_23410	Cyanosarcina cf. burmensis CCALA 770	280	prephenate dehydrogenase (NAD+) activity [GO:0008977]; prephenate dehydrogenase (NADP+) activity [GO:0004665]; tyrosine biosynthetic process [GO:0006571]	GO:0004665; GO:0006571; GO:0008977
WP_015152706.1	A0A433VYG0	A0A433VYG0_9CYAN	unreviewed	Arogenate dehydrogenase	tyrA DSM107010_36320	Chroococcidiopsis cubana SAG 39.79	280	prephenate dehydrogenase (NAD+) activity [GO:0008977]; prephenate dehydrogenase (NADP+) activity [GO:0004665]; tyrosine biosynthetic process [GO:0006571]	GO:0004665; GO:0006571; GO:0008977
WP_015152706.1	K9TUB8	K9TUB8_CHRTP	unreviewed	Arogenate dehydrogenase (NADP) (EC 1.3.1.78)	Chro_0609	Chroococcidiopsis thermalis (strain PCC 7203)	280	arogenate dehydrogenase (NADP+) activity [GO:0033730]; prephenate dehydrogenase (NAD+) activity [GO:0008977]; prephenate dehydrogenase (NADP+) activity [GO:0004665]; tyrosine biosynthetic process [GO:0006571]	GO:0004665; GO:0006571; GO:0008977; GO:0033730
WP_061431749.1	A0A139GLC9	A0A139GLC9_MICA8	unreviewed	4-amino-4-deoxychorismate lyase	OA58_11745	Microcystis aeruginosa (strain NIES-88)	269	lyase activity [GO:0016829]	GO:0016829
WP_015164733.1	K9SJ13	K9SJ13_9CYAN	unreviewed	Uncharacterized protein	Pse7367_1473	Pseudanabaena sp. PCC 7367	257		
WP_015198673.1	K9V2Y4	K9V2Y4_9CYAN	unreviewed	Glycosyl transferase family 2	Cal6303_3098	Calothrix sp. PCC 6303	300	transferase activity [GO:0016740]	GO:0016740
WP_013321874.1	E0U8M1	E0U8M1_GLOV7	unreviewed	Cyclic nucleotide-regulated small mechanosensitive ion channel	Cyan7822_1780	Gloeothece verrucosa (strain PCC 7822) (Cyanothece sp. (strain PCC 7822))	485	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]	GO:0005886; GO:0016021; GO:0055085
WP_015114276.1	K9QFW4	K9QFW4_9NOSO	unreviewed	"Transcriptional regulator, ArsR family"	Nos7107_3500	Nostoc sp. PCC 7107	114	DNA-binding transcription factor activity [GO:0003700]	GO:0003700
WP_015956900.1	B7KFJ4	B7KFJ4_GLOC7	unreviewed	Uncharacterized protein	PCC7424_4966	Gloeothece citriformis (strain PCC 7424) (Cyanothece sp. (strain PCC 7424))	158	integral component of membrane [GO:0016021]	GO:0016021
WP_015183871.1	K9WH45	K9WH45_9CYAN	unreviewed	RNA polymerase sigma factor SigA	sigA Mic7113_4030	Microcoleus sp. PCC 7113	373	cytoplasm [GO:0005737]; DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; transcription initiation from bacterial-type RNA polymerase promoter [GO:0001123]	GO:0001123; GO:0003677; GO:0005737; GO:0016987
WP_002793042.1	I4HN63	I4HN63_MICAE	unreviewed	Uncharacterized protein	MICAG_2070009	Microcystis aeruginosa PCC 9808	435	integral component of membrane [GO:0016021]; flavin adenine dinucleotide binding [GO:0050660]	GO:0016021; GO:0050660
XP_017607531.1	A0A6P4LYH9	A0A6P4LYH9_GOSAR	unreviewed	tRNA (guanine(26)-N(2))-dimethyltransferase (EC 2.1.1.216)	LOC108453755	Gossypium arboreum (Tree cotton) (Gossypium nanking)	433	tRNA (guanine-N2-)-methyltransferase activity [GO:0004809]; tRNA binding [GO:0000049]	GO:0000049; GO:0004809
WP_009148738.1	F4XWS4	F4XWS4_9CYAN	unreviewed	Uncharacterized protein	LYNGBM3L_46230	Moorea producens 3L	48	integral component of membrane [GO:0016021]	GO:0016021
WP_009786724.1	A0YW81	A0YW81_LYNSP	unreviewed	Uncharacterized protein	L8106_25355	Lyngbya sp. (strain PCC 8106) (Lyngbya aestuarii (strain CCY9616))	409		
WP_046662156.1	A0A0F6U4C3	A0A0F6U4C3_MICAE	unreviewed	Chromosome (Plasmid) partitioning protein ParA	MYAER_2297	Microcystis aeruginosa NIES-2549	295		
WP_046662156.1	A0A6H9GI99	A0A6H9GI99_MICAE	unreviewed	AAA_31 domain-containing protein	NIES3806_23310	Microcystis aeruginosa NIES-3806	295		
WP_002763300.1	A0A0K1S9F8	A0A0K1S9F8_9CHRO	unreviewed	Uncharacterized protein	VL20_5870	Microcystis panniformis FACHB-1757	90		
WP_002763300.1	I4FW47	I4FW47_MICAE	unreviewed	Uncharacterized protein	MICAB_6880009	Microcystis aeruginosa PCC 9717	90		
WP_015197448.1	K9UYY0	K9UYY0_9CYAN	unreviewed	Uncharacterized protein	Cal6303_1763	Calothrix sp. PCC 6303	105		
WP_015195349.1	K9XYL7	K9XYL7_STAC7	unreviewed	Deoxyribodipyrimidine photo-lyase (EC 4.1.99.3)	Sta7437_4222	Stanieria cyanosphaera (strain ATCC 29371 / PCC 7437)	475	deoxyribodipyrimidine photo-lyase activity [GO:0003904]; protein-chromophore linkage [GO:0018298]	GO:0003904; GO:0018298
WP_002759526.1	I4FN77	I4FN77_MICAE	unreviewed	"Genome sequencing data, contig C309"	MICAB_2960005	Microcystis aeruginosa PCC 9717	170	transferase activity [GO:0016740]; peptidoglycan biosynthetic process [GO:0009252]	GO:0009252; GO:0016740
WP_002759526.1	I4HIF6	I4HIF6_MICAE	unreviewed	"Genome sequencing data, contig C309"	MICAH_1480003	Microcystis aeruginosa PCC 9809	170	transferase activity [GO:0016740]; peptidoglycan biosynthetic process [GO:0009252]	GO:0009252; GO:0016740
WP_006197455.1	A0A2S0Q0P7	A0A2S0Q0P7_NODSP	unreviewed	NH(3)-dependent NAD(+) synthetase (EC 6.3.5.1)	nadE_2 BMF81_01729	Nodularia spumigena UHCC 0039	275	NAD+ synthase (glutamine-hydrolyzing) activity [GO:0003952]; sulfurtransferase activity [GO:0016783]	GO:0003952; GO:0016783
WP_006197455.1	A0ZI80	A0ZI80_NODSP	unreviewed	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2)	NSP_45540	Nodularia spumigena CCY9414	275	GMP synthase (glutamine-hydrolyzing) activity [GO:0003922]; sulfurtransferase activity [GO:0016783]	GO:0003922; GO:0016783
WP_015196137.1	K9UWF6	K9UWF6_9CYAN	unreviewed	Uncharacterized protein	Cal6303_0404	Calothrix sp. PCC 6303	117	thylakoid membrane [GO:0042651]	GO:0042651
WP_017741646.1	A0A139XCF9	A0A139XCF9_9CYAN	unreviewed	WD_REPEATS_REGION domain-containing protein	WA1_20640	Scytonema hofmannii PCC 7110	1560		
WP_004163245.1	A0A3G9K6F4	A0A3G9K6F4_MICVR	unreviewed	Esterase	myaer102_42200	Microcystis viridis NIES-102	281	catalytic activity [GO:0003824]	GO:0003824
WP_004163245.1	I4HHG7	I4HHG7_MICAE	unreviewed	Esterase	MICAH_1250001	Microcystis aeruginosa PCC 9809	281	catalytic activity [GO:0003824]	GO:0003824
WP_002757748.1	A0A0K1S226	A0A0K1S226_9CHRO	unreviewed	Putative membrane protein insertion efficiency factor	VL20_3179	Microcystis panniformis FACHB-1757	76	plasma membrane [GO:0005886]	GO:0005886
WP_002757748.1	A0A2Z6UK84	A0A2Z6UK84_MICAE	unreviewed	Putative membrane protein insertion efficiency factor	yidD MSj_01782	Microcystis aeruginosa Sj	76	plasma membrane [GO:0005886]	GO:0005886
WP_002757748.1	A0A510PFM1	A0A510PFM1_MICAE	unreviewed	Putative membrane protein insertion efficiency factor	MAE30S32_12460	Microcystis aeruginosa 11-30S32	76	plasma membrane [GO:0005886]	GO:0005886
WP_002757748.1	I4FJG1	I4FJG1_MICAE	unreviewed	Putative membrane protein insertion efficiency factor	MICAB_1060003	Microcystis aeruginosa PCC 9717	76	plasma membrane [GO:0005886]	GO:0005886
WP_002757748.1	I4G3U6	I4G3U6_MICAE	unreviewed	Putative membrane protein insertion efficiency factor	MICAC_3550003	Microcystis aeruginosa PCC 9443	76	plasma membrane [GO:0005886]	GO:0005886
WP_002757748.1	I4HYB7	I4HYB7_MICAE	unreviewed	Putative membrane protein insertion efficiency factor	MICAH_4240019	Microcystis aeruginosa PCC 9809	76	plasma membrane [GO:0005886]	GO:0005886
WP_002757748.1	S3IX98	S3IX98_MICAE	unreviewed	Putative membrane protein insertion efficiency factor	MAESPC_04520	Microcystis aeruginosa SPC777	76	plasma membrane [GO:0005886]	GO:0005886
WP_045361707.1	A0A0A1W1C4	A0A0A1W1C4_MICAE	unreviewed	Peripla_BP_6 domain-containing protein	N44_04171	Microcystis aeruginosa NIES-44	537	integral component of membrane [GO:0016021]	GO:0016021
WP_008198851.1	A0A2P1UL29	A0A2P1UL29_9CHRO	unreviewed	zinc_ribbon_2 domain-containing protein	B5D77_21965	Microcystis sp. MC19	1078		
WP_008198851.1	I4IAK3	I4IAK3_9CHRO	unreviewed	zinc_ribbon_2 domain-containing protein	MICAI_1860001	Microcystis sp. T1-4	1078		
WP_007303197.1	G5JAX8	G5JAX8_CROWT	unreviewed	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	queC CWATWH0003_4589	Crocosphaera watsonii WH 0003	230	"ATP binding [GO:0005524]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; zinc ion binding [GO:0008270]; queuosine biosynthetic process [GO:0008616]"	GO:0005524; GO:0008270; GO:0008616; GO:0016879
WP_007303197.1	Q4CAQ6	Q4CAQ6_CROWT	unreviewed	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	queC CwatDRAFT_6090	Crocosphaera watsonii WH 8501	230	"ATP binding [GO:0005524]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; zinc ion binding [GO:0008270]; queuosine biosynthetic process [GO:0008616]"	GO:0005524; GO:0008270; GO:0008616; GO:0016879
WP_007303197.1	T2IAF5	T2IAF5_CROWT	unreviewed	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	queC CWATWH8502_4295	Crocosphaera watsonii WH 8502	230	"ATP binding [GO:0005524]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; zinc ion binding [GO:0008270]; queuosine biosynthetic process [GO:0008616]"	GO:0005524; GO:0008270; GO:0008616; GO:0016879
WP_007303197.1	T2IQK8	T2IQK8_CROWT	unreviewed	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	queC CWATWH0005_4404	Crocosphaera watsonii WH 0005	230	"ATP binding [GO:0005524]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; zinc ion binding [GO:0008270]; queuosine biosynthetic process [GO:0008616]"	GO:0005524; GO:0008270; GO:0008616; GO:0016879
WP_007303197.1	T2JZP3	T2JZP3_CROWT	unreviewed	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	queC CWATWH0402_5508	Crocosphaera watsonii WH 0402	230	"ATP binding [GO:0005524]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; zinc ion binding [GO:0008270]; queuosine biosynthetic process [GO:0008616]"	GO:0005524; GO:0008270; GO:0008616; GO:0016879
WP_013323733.1	E0UI12	E0UI12_GLOV7	unreviewed	ABC transporter related protein	Cyan7822_3728	Gloeothece verrucosa (strain PCC 7822) (Cyanothece sp. (strain PCC 7822))	339	ATP binding [GO:0005524]; daunorubicin transport [GO:0043215]; doxorubicin transport [GO:1900753]	GO:0005524; GO:0043215; GO:1900753
WP_017312997.1	A0A4D9CEB5	A0A4D9CEB5_MASLA	unreviewed	LOG family protein	BLD44_023360	Mastigocladus laminosus UU774	356		
WP_017312997.1	A0A4Q9JER5	A0A4Q9JER5_9CYAN	unreviewed	Cytochrome D ubiquinol oxidase subunit II	B4U84_12495	Westiellopsis prolifica IICB1	356		
WP_028946798.1	A0A068MRT8	A0A068MRT8_SYNY4	unreviewed	Transcriptional regulator	D082_02220	Synechocystis sp. (strain PCC 6714) (Aphanocapsa sp. (strain PCC 6714))	89	"DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]"	GO:0003677; GO:0006355
WP_008276980.1	A3IUC4	A3IUC4_9CHRO	unreviewed	Uncharacterized protein	CY0110_13953	Crocosphaera chwakensis CCY0110	555	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]	GO:0005886; GO:0016021; GO:0055085
WP_021831311.1	T2IHH5	T2IHH5_CROWT	unreviewed	RNA-directed DNA polymerase (Reverse transcriptase):HNH endonuclease	CWATWH8502_1233	Crocosphaera watsonii WH 8502	504	endonuclease activity [GO:0004519]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0004519
WP_046662221.1	A0A0F6U4W3	A0A0F6U4W3_MICAE	unreviewed	"Glycosyl transferase, family 2"	MYAER_2385	Microcystis aeruginosa NIES-2549	331	transferase activity [GO:0016740]	GO:0016740
WP_046662221.1	A0A6H9GCN4	A0A6H9GCN4_MICAE	unreviewed	Glycosyl transferase family 2	NIES3787_34330	Microcystis aeruginosa NIES-3787	331	transferase activity [GO:0016740]	GO:0016740
WP_069068625.1	A0A1E2WMF3	A0A1E2WMF3_9NOSO	unreviewed	LapA_dom domain-containing protein	A4S05_04495	Nostoc sp. KVJ20	91	integral component of plasma membrane [GO:0005887]	GO:0005887
WP_015139254.1	K9QUP2	K9QUP2_NOSS7	unreviewed	Putative transcriptional regulator	Nos7524_3012	Nostoc sp. (strain ATCC 29411 / PCC 7524)	327	DNA-binding transcription factor activity [GO:0003700]	GO:0003700
WP_015145758.1	K9T9A8	K9T9A8_9CYAN	unreviewed	Uma2 domain-containing protein	Ple7327_4351	Pleurocapsa sp. PCC 7327	205		
WP_006527916.1	L8LT77	L8LT77_9CHRO	unreviewed	Allophycocyanin alpha-B subunit apoprotein	GLO73106DRAFT_00031010	Gloeocapsa sp. PCC 73106	161	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]	GO:0015979; GO:0018298; GO:0030089; GO:0031676
WP_002801537.1	I4IXU0	I4IXU0_MICAE	unreviewed	Processing protease	MICAK_930002	Microcystis aeruginosa PCC 9701	419	metal ion binding [GO:0046872]; peptidase activity [GO:0008233]	GO:0008233; GO:0046872
WP_012594219.1	B7JYS4	B7JYS4_RIPO1	unreviewed	Hydrogenase expression/formation protein HypD	PCC8801_0866	Rippkaea orientalis (strain PCC 8801) (Cyanothece sp. (strain PCC 8801))	369	metal ion binding [GO:0046872]	GO:0046872
WP_007312223.1	G5JA43	G5JA43_CROWT	unreviewed	Uncharacterized protein (Fragment)	CWATWH0003_4306a1	Crocosphaera watsonii WH 0003	390		
WP_035015990.1	W7QI76	W7QI76_9ALTE	unreviewed	Putative mRNA interferase YoeB (Toxin YoeB)	DS2_16394	Catenovulum agarivorans DS-2	89	endonuclease activity [GO:0004519]; RNA catabolic process [GO:0006401]	GO:0004519; GO:0006401
WP_013320705.1	E0U8F9	E0U8F9_GLOV7	unreviewed	Hopanoid biosynthesis associated radical SAM protein HpnH	Cyan7822_0557	Gloeothece verrucosa (strain PCC 7822) (Cyanothece sp. (strain PCC 7822))	339	catalytic activity [GO:0003824]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]	GO:0003824; GO:0046872; GO:0051536
WP_015956879.1	B7KEI0	B7KEI0_GLOC7	unreviewed	RNA binding S1 domain protein	PCC7424_4944	Gloeothece citriformis (strain PCC 7424) (Cyanothece sp. (strain PCC 7424))	718	nucleic acid binding [GO:0003676]; nucleobase-containing compound metabolic process [GO:0006139]	GO:0003676; GO:0006139
WP_062245178.1	A0A0S3TK12	A0A0S3TK12_9CYAN	unreviewed	Ap4A phosphorylase II	FIS3754_13200	Fischerella sp. NIES-3754	301	ATP adenylyltransferase activity [GO:0003877]; ATP binding [GO:0005524]; nucleotide metabolic process [GO:0009117]	GO:0003877; GO:0005524; GO:0009117
WP_062245178.1	A0A1U7GWR6	A0A1U7GWR6_9CYAN	unreviewed	Phosphorylase	NIES592_17715	Fischerella major NIES-592	301	ATP adenylyltransferase activity [GO:0003877]; ATP binding [GO:0005524]; nucleotide metabolic process [GO:0009117]	GO:0003877; GO:0005524; GO:0009117
WP_062245178.1	A0A2N6M323	A0A2N6M323_9CYAN	unreviewed	Phosphorylase	CEN41_17610	Fischerella thermalis CCMEE 5330	301	ATP adenylyltransferase activity [GO:0003877]; ATP binding [GO:0005524]; nucleotide metabolic process [GO:0009117]	GO:0003877; GO:0005524; GO:0009117
WP_006617304.1	D4ZTE4	D4ZTE4_ARTPN	unreviewed	MscS mechanosensitive ion channel family protein	NIES39_J00070	Arthrospira platensis (strain NIES-39 / IAM M-135) (Spirulina platensis)	686	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]	GO:0005886; GO:0016021; GO:0055085
WP_015192893.1	K9XU67	K9XU67_STAC7	unreviewed	Uncharacterized protein	Sta7437_1659	Stanieria cyanosphaera (strain ATCC 29371 / PCC 7437)	164	integral component of membrane [GO:0016021]	GO:0016021
WP_007303907.1	G5JDJ7	G5JDJ7_CROWT	unreviewed	Uncharacterized protein	CWATWH0003_5489	Crocosphaera watsonii WH 0003	78		
WP_007303907.1	Q4C8L8	Q4C8L8_CROWT	unreviewed	Uncharacterized protein	CwatDRAFT_5370	Crocosphaera watsonii WH 8501	78		
WP_007303907.1	T2IJ39	T2IJ39_CROWT	unreviewed	Ssl2733 protein	CWATWH8502_3725	Crocosphaera watsonii WH 8502	78		
WP_007303907.1	T2IN79	T2IN79_CROWT	unreviewed	Ssl2733 protein	CWATWH0005_5611	Crocosphaera watsonii WH 0005	78		
WP_007303907.1	T2JN13	T2JN13_CROWT	unreviewed	Uncharacterized protein	CWATWH0402_6284	Crocosphaera watsonii WH 0402	78		
WP_007308351.1	G5JDK1	G5JDK1_CROWT	unreviewed	Uncharacterized protein	CWATWH0003_5493	Crocosphaera watsonii WH 0003	84		
WP_007308351.1	Q4BV96	Q4BV96_CROWT	unreviewed	Uncharacterized protein	CwatDRAFT_0462	Crocosphaera watsonii WH 8501	84		
