"","id","description","length","eValue","bitscore","simMean","GO_IDs","GO_terms","gene_id","gene_name","KO"
"758","14_155","REJ44316.1",241,6.75e-118,341,81.74,"GO:0010024;GO:0050620;GO:0050897;GO:0016636","phytochromobilin biosynthetic process; phycocyanobilin:ferredoxin oxidoreductase activity; cobalt ion binding; oxidoreductase activity, acting on the CH-CH group of donors, iron-sulfur protein as acceptor;cobalt ion binding;phycocyanobilin:ferredoxin oxidoreductase activity","K05371","phycocyanobilin:ferredoxin oxidoreductase [EC:1.3.7.5]","K05371"
"759","14_158","NET30321.1",374,1.15e-121,368,68.98,"GO:0006529;GO:0004066;GO:0005524","asparagine biosynthetic process; asparagine synthase (glutamine-hydrolyzing) activity;asparagine synthase (glutamine-hydrolyzing) activity;ATP binding","K01953","asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]","K01953"
"760","14_159","NET30321.1",174,1.2e-67,220,72.99,"GO:0006529;GO:0004066;GO:0005524","asparagine biosynthetic process; asparagine synthase (glutamine-hydrolyzing) activity;asparagine synthase (glutamine-hydrolyzing) activity;ATP binding","K01953","asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]","K01953"
"761","14_160","MBS1808732.1",384,5.99e-171,488,76.3,"GO:0009089;GO:0008836;GO:0003824","lysine biosynthetic process via diaminopimelate; diaminopimelate decarboxylase activity; catalytic activity","K01586","diaminopimelate decarboxylase [EC:4.1.1.20]","K01586"
"762","14_163","ALF53462.1",58,3.24e-13,64.7,72.41,"GO:0043565","sequence-specific DNA binding","K07499","putative transposase","K07499"
"763","14_164","CUR31200.1",171,2.11e-75,232,79.53,"GO:0003676","nucleic acid binding","K07494","putative transposase","K07494"
"764","14_165","MBN3889126.1",445,2.43e-107,332,64.04,"GO:0003677;GO:0005694","DNA binding; chromosome","K10878","meiotic recombination protein SPO11","K10878"
"765","14_166","MBN3889126.1",309,2.04e-91,283,65.7,"GO:0003677;GO:0005694","DNA binding; chromosome","K05285","GPI ethanolamine phosphate transferase 1 [EC:2.7.-.-]","K05285"
"766","14_168","WP_199288925.1",560,1.49e-188,550,66.61,"GO:0006529;GO:0004066","asparagine biosynthetic process; asparagine synthase (glutamine-hydrolyzing) activity","K01953","asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]","K01953"
"767","14_169","WP_006527916.1",161,2.72e-92,270,92.55,"GO:0015979;GO:0018298;GO:0030089;GO:0031676","photosynthesis; protein-chromophore linkage; phycobilisome; plasma membrane-derived thylakoid membrane;phycobilisome;plasma membrane-derived thylakoid membrane;protein-chromophore linkage","K02095","allophycocyanin-B","K02095"
"768","14_170","TAE70435.1",410,2.15e-171,491,71.46,"GO:0046872","metal ion binding","K07263","zinc protease [EC:3.4.24.-]","K07263"
"769","14_171","WP_002801537.1",415,1.36e-171,491,75.42,"GO:0046872;GO:0008233","metal ion binding;peptidase activity","K07263","zinc protease [EC:3.4.24.-]","K07263"
"770","14_172","WP_009148860.1",110,3.82e-49,165,85.45,"GO:0006629","lipid metabolic process","K06900","uncharacterized protein","K06900"
"771","14_174","MBP0020381.1",35,1.18e-12,66.2,91.43,"GO:0006508;GO:0004252","proteolysis; serine-type endopeptidase activity","K01342","subtilisin [EC:3.4.21.62]","K01342"
"772","14_175","MBP0020381.1",123,3.41e-40,143,71.54,"GO:0006508;GO:0004252;GO:0008236","proteolysis; serine-type endopeptidase activity; serine-type peptidase activity","K08651","thermitase [EC:3.4.21.66]","K08651"
"773","14_177","OKH37190.1",187,4.55e-67,209,73.26,"GO:0003676","nucleic acid binding","K07494","putative transposase","K07494"
"774","14_178","REJ40527.1",413,6.03e-197,554,80.15,"GO:0006310;GO:0032196;GO:0003677","DNA recombination; transposition; DNA binding;DNA binding;transposition","K07496","putative transposase","K07496"
"775","14_180","WP_104545025.1",317,5.26e-160,454,84.86,"GO:0005524","ATP binding","K06217","phosphate starvation-inducible protein PhoH and related proteins","K06217"
"776","14_181","WP_012594219.1",367,2.16e-220,611,89.37,"GO:0046872","metal ion binding","K04654","hydrogenase expression/formation protein HypD","K04654"
"777","14_183","WP_194051011.1",161,6.12e-89,261,91.93,"GO:0015979;GO:0030089","photosynthesis; phycobilisome","K02092","allophycocyanin alpha subunit","K02092"
"778","14_184","MBA3922091.1",161,9.22e-100,288,95.65,"GO:0015979;GO:0030089","photosynthesis; phycobilisome","K02093","allophycocyanin beta subunit","K02093"
"779","14_185","NJK34227.1",67,6.97e-42,135,98.51,"GO:0015979;GO:0030089","photosynthesis; phycobilisome","K02094","phycobilisome core linker protein","K02094"
"780","14_191","WP_106459171.1",443,2.54e-181,520,80.36,"GO:0006457;GO:0015031;GO:0003755","protein folding; protein transport; peptidyl-prolyl cis-trans isomerase activity","K03545","trigger factor","K03545"
"781","14_192","MBR8831806.1",243,2.73e-119,345,76.95,"GO:0016787","hydrolase activity","K07313","serine/threonine protein phosphatase 1 [EC:3.1.3.16]","K07313"
"782","14_194","WP_007312223.1",390,2.17e-174,499,100,"GO:0005515","protein binding","K15837","G-protein signaling modulator 2","K15837"
"783","14_200","WP_035015990.1",88,3.27e-50,157,88.64,"GO:0006401;GO:0090305;GO:0004519","RNA catabolic process; nucleic acid phosphodiester bond hydrolysis; endonuclease activity;endonuclease activity","K19158","toxin YoeB [EC:3.1.-.-]","K19158"
"784","14_201","WP_013320705.1",336,2.28e-229,631,93.15,"GO:0003824;GO:0046872;GO:0051536","catalytic activity; metal ion binding; iron-sulfur cluster binding;iron-sulfur cluster binding;metal ion binding","K06045","squalene-hopene/tetraprenyl-beta-curcumene cyclase [EC:5.4.99.17 4.2.1.129]","K06045"
"785","14_205","WP_015956879.1",716,0,1062,88.41,"GO:0006139;GO:0003676","nucleobase-containing compound metabolic process; nucleic acid binding;nucleic acid binding","K06959","protein Tex","K06959"
"786","14_206","WP_190504614.1",524,7.64e-112,351,59.16,"GO:0035556;GO:0055085;GO:0016020","intracellular signal transduction; transmembrane transport; membrane","K05802","potassium-dependent mechanosensitive channel","K05802"
"787","14_208","BAY85395.1",228,4.41e-20,92.8,51.32,"GO:0006418;GO:0004812;GO:0005524;GO:0000166;GO:0004814;GO:0006420","tRNA aminoacylation for protein translation; aminoacyl-tRNA ligase activity; ATP binding; nucleotide binding;arginine-tRNA ligase activity;ATP binding;arginyl-tRNA aminoacylation","K01887","arginyl-tRNA synthetase [EC:6.1.1.19]","K01887"
"788","14_213","WP_096571938.1",338,1.93e-184,518,85.8,"GO:0044249;GO:0044237","cellular biosynthetic process;cellular metabolic process; cellular biosynthetic process","K08963","methylthioribose-1-phosphate isomerase [EC:5.3.1.23]","K08963"
"789","15_1","NEO98448.1",302,4.35e-134,388,80.79,"GO:0005975;GO:0006650;GO:0008654;GO:0046167;GO:0046168;GO:0004367;GO:0051287;GO:0106257;GO:0009331;GO:0006072;GO:0016491;GO:0016616","carbohydrate metabolic process; glycerophospholipid metabolic process; phospholipid biosynthetic process; glycerol-3-phosphate biosynthetic process; glycerol-3-phosphate catabolic process; glycerol-3-phosphate dehydrogenase [NAD+] activity; NAD binding; glycerol-3-phosphate dehydrogenase [NADP+] activity; glycerol-3-phosphate dehydrogenase complex; glycerol-3-phosphate metabolic process; oxidoreductase activity; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;glycerol-3-phosphate dehydrogenase complex;glycerol-3-phosphate dehydrogenase activityD binding;glycerol-3-phosphate biosynthetic process;glycerol-3-phosphate catabolic process;glycerophospholipid metabolic process;phospholipid biosynthetic process","K00057","glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]","K00057"
"790","15_5","WP_110381499.1",300,3.39e-87,281,70,"GO:0007155;GO:0005509;GO:0008305;GO:0016020","cell adhesion; calcium ion binding; integrin complex; membrane","K01127","glycosylphosphatidylinositol phospholipase D [EC:3.1.4.50]","K01127"
"791","15_7","NES85069.1",76,3.89e-43,139,90.79,"GO:0003676","nucleic acid binding","K07494","putative transposase","K07494"
"792","15_8","WP_110381499.1",506,2.44e-142,446,69.17,"GO:0007154;GO:0007156;GO:0005509;GO:0008305;GO:0007155;GO:0016020;GO:0016021","cell communication; homophilic cell adhesion via plasma membrane adhesion molecules; calcium ion binding; integrin complex; cell adhesion; membrane; integral component of membrane","K01127","glycosylphosphatidylinositol phospholipase D [EC:3.1.4.50]","K01127"
"793","15_9","WP_162394784.1",475,7.9e-293,804,91.37,"GO:0006099;GO:0004450;GO:0016616","tricarboxylic acid cycle; isocitrate dehydrogenase (NADP+) activity; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","K00031","isocitrate dehydrogenase [EC:1.1.1.42]","K00031"
"794","15_10","WP_009545567.1",533,0,1045,97,"GO:0030979;GO:0003844;GO:0005975;GO:0003824","alpha-glucan biosynthetic process; 1,4-alpha-glucan branching enzyme activity;carbohydrate metabolic process; alpha-glucan biosynthetic process; catalytic activity","K16149","1,4-alpha-glucan branching enzyme [EC:2.4.1.18]","K16149"
"795","15_11","WP_108935767.1",367,8.1e-173,491,82.02,"GO:0007165;GO:0016310;GO:0048511;GO:0000155;GO:0016772","signal transduction; phosphorylation; rhythmic process; phosphorelay sensor kinase activity; transferase activity, transferring phosphorus-containing groups","K08479","two-component system, OmpR family, clock-associated histidine kinase SasA [EC:2.7.13.3]","K08479"
"796","15_14","WP_206814175.1",116,5.61e-41,136,79.31,"GO:0003677","DNA binding","K09747","uncharacterized protein","K09747"
"797","15_15","WP_190489850.1",312,6.82e-176,494,87.82,"GO:0033014;GO:0004418","tetrapyrrole biosynthetic process; hydroxymethylbilane synthase activity","K01749","hydroxymethylbilane synthase [EC:2.5.1.61]","K01749"
"798","15_16","WP_094351572.1",268,7.19e-97,290,70.15,"GO:0003723","RNA binding","WP_094351572.1","Tab2/Atab2 family RNA-binding protein","none"
"799","15_17","WP_062245178.1",295,7.1e-94,285,66.44,"GO:0009117;GO:0003877;GO:0005524","nucleotide metabolic process; ATP adenylyltransferase activity; ATP binding;ATP adenylyltransferase activity;ATP binding","K00988","sulfate adenylyltransferase (ADP) / ATP adenylyltransferase [EC:2.7.7.5 2.7.7.53]","K00988"
"800","15_17","WP_062245178.1",295,7.1e-94,285,66.44,"GO:0009117;GO:0003877;GO:0005524","nucleotide metabolic process; ATP adenylyltransferase activity; ATP binding;ATP adenylyltransferase activity;ATP binding","K00988","sulfate adenylyltransferase (ADP) / ATP adenylyltransferase [EC:2.7.7.5 2.7.7.53]","K00988"
"801","15_17","WP_062245178.1",295,7.1e-94,285,66.44,"GO:0009117;GO:0003877;GO:0005524","nucleotide metabolic process; ATP adenylyltransferase activity; ATP binding;ATP adenylyltransferase activity;ATP binding","K00988","sulfate adenylyltransferase (ADP) / ATP adenylyltransferase [EC:2.7.7.5 2.7.7.53]","K00988"
"802","15_19","TVP62820.1",337,1.04e-94,292,64.09,"GO:0015276;GO:0016020;GO:0016021","ligand-gated ion channel activity; membrane;integral component of membrane","K05313","glutamate receptor, ionotropic, invertebrate","K05313"
"803","15_24","WP_006617304.1",454,1.84e-103,328,63,"GO:0055085;GO:0016020;GO:0005886;GO:0016021","transmembrane transport; membrane;integral component of membrane;plasma membrane","K22044","moderate conductance mechanosensitive channel","K22044"
"804","15_25","MBP0000460.1",540,4.24e-103,327,53.89,"GO:0016042;GO:0003847","lipid catabolic process; 1-alkyl-2-acetylglycerophosphocholine esterase activity","K01062","platelet-activating factor acetylhydrolase [EC:3.1.1.47]","K01062"
"805","15_29","WP_015192893.1",164,7.36e-47,155,67.68,"GO:0016020;GO:0016021","membrane; integral component of membrane;integral component of membrane","K17784","mitochondrial inner membrane organizing system protein 1","K17784"
"806","15_30","KAA6185108.1",143,4.54e-44,159,75.52,"GO:0006812;GO:0098655;GO:0008324;GO:0005886;GO:0016020;GO:0016021","cation transport; cation transmembrane transport; cation transmembrane transporter activity; plasma membrane; membrane; integral component of membrane;integral component of membrane;plasma membrane;cation transmembrane transporter activity","KAA6185108.1","DUF1576 domain-containing protein","none"
"807","15_32","OKH37190.1",187,4.55e-67,209,73.26,"GO:0003676","nucleic acid binding","K07494","putative transposase","K07494"
"808","15_33","KAA6185108.1",158,8.76e-59,198,77.85,"GO:0006812;GO:0098655;GO:0008324;GO:0005886;GO:0016020;GO:0016021","cation transport; cation transmembrane transport; cation transmembrane transporter activity; plasma membrane; membrane; integral component of membrane;integral component of membrane;plasma membrane;cation transmembrane transporter activity","K20840","MFS transporter, PCFT/HCP family, solute carrier family 46, member 3","K20840"
"809","15_34","WP_190710483.1",266,4.62e-99,299,72.56,"GO:0006313;GO:0003677;GO:0004803","transposition, DNA-mediated; DNA binding; transposase activity","K17712","cytochrome P450 family 2 subfamily D polypeptide 6 [EC:1.14.14.1]","K17712"
"810","15_35","WP_048325828.1",87,3.91e-54,170,98.85,"GO:0006313;GO:0003677;GO:0004803","transposition, DNA-mediated; DNA binding; transposase activity","WP_048325828.1","ISAs1 family transposase, partial","none"
"811","15_37","KAA6185108.1",85,7.66e-27,107,75.29,"GO:0006812;GO:0098655;GO:0008324;GO:0005886;GO:0016020;GO:0016021","cation transport; cation transmembrane transport; cation transmembrane transporter activity; plasma membrane; membrane; integral component of membrane;integral component of membrane;plasma membrane;cation transmembrane transporter activity","KAA6185108.1","DUF1576 domain-containing protein","none"
"812","15_48","WP_017300710.1",400,1.04e-233,647,88.5,"GO:0006526;GO:0004055;GO:0005524","arginine biosynthetic process; argininosuccinate synthase activity; ATP binding","K01940","argininosuccinate synthase [EC:6.3.4.5]","K01940"
"813","15_51","WP_086756587.1",375,4.37e-89,307,62.4,"GO:0006468;GO:0004672;GO:0005515;GO:0005524","protein phosphorylation; protein kinase activity; protein binding; ATP binding","K08884","serine/threonine protein kinase, bacterial [EC:2.7.11.1]","K08884"
"814","15_52","WP_106289507.1",112,9.25e-63,191,95.54,"GO:0006808;GO:0030234","regulation of nitrogen utilization; enzyme regulator activity","K04751","nitrogen regulatory protein P-II 1","K04751"
"815","15_53","MBD2094430.1",241,8.24e-78,241,68.88,"GO:0006464;GO:0004077","cellular protein modification process; biotin-[acetyl-CoA-carboxylase] ligase activity","K03524","BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]","K03524"
"816","15_55","EHJ14519.1",293,1.17e-213,587,100,"GO:0008270;GO:0016788;GO:0019807;GO:0016811","zinc ion binding; hydrolase activity, acting on ester bonds; aspartoacylase activity;hydrolase activity, acting on ester bonds; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides;aspartoacylase activity","K01437","aspartoacylase [EC:3.5.1.15]","K01437"
"817","15_58","NCJ08504.1",267,3.53e-91,276,71.16,"GO:0006355;GO:0003700;GO:0043565","regulation of transcription, DNA-templated; DNA-binding transcription factor activity; sequence-specific DNA binding","K07506","AraC family transcriptional regulator","K07506"
"818","15_61","NCR72547.1",513,4.86e-235,661,78.95,"GO:0006306;GO:0003677;GO:0008170","DNA methylation; DNA binding; N-methyltransferase activity","K07317","adenine-specific DNA-methyltransferase [EC:2.1.1.72]","K07317"
"819","15_62","BAZ30096.1",216,5.22e-65,205,66.2,"GO:0016020;GO:0016021","membrane; integral component of membrane;integral component of membrane","K07000","uncharacterized protein","K07000"
"820","15_63","WP_106454914.1",119,8.61e-74,219,98.32,"GO:0008137","NADH dehydrogenase (ubiquinone) activity","K05574","NAD(P)H-quinone oxidoreductase subunit 3 [EC:7.1.1.2]","K05574"
"821","15_64","WP_193869248.1",229,1.29e-135,386,91.7,"GO:0008137;GO:0048038;GO:0051539;GO:0051536","NADH dehydrogenase (ubiquinone) activity; quinone binding; 4 iron, 4 sulfur cluster binding; iron-sulfur cluster binding","K05582","NAD(P)H-quinone oxidoreductase subunit K [EC:7.1.1.2]","K05582"
"822","15_65","WP_193930600.1",177,5.5e-102,295,86.44,"GO:0008137;GO:0016651","NADH dehydrogenase (ubiquinone) activity; oxidoreductase activity, acting on NAD(P)H","K05581","NAD(P)H-quinone oxidoreductase subunit J [EC:7.1.1.2]","K05581"
"823","15_66","WP_196516163.1",68,3.7e-22,85.5,75,"GO:0003729","mRNA binding","K07339","mRNA interferase HicA [EC:3.1.-.-]","K07339"
"824","15_68","WP_109010953.1",138,3.24e-50,162,73.91,"GO:0006313;GO:0003677;GO:0004803","transposition, DNA-mediated; DNA binding; transposase activity","K07491","putative transposase","K07491"
"825","15_69","WP_021834315.1",421,0,862,100,"GO:0006310;GO:0032196;GO:0003677","DNA recombination; transposition; DNA binding;DNA binding;transposition","K07496","putative transposase","K07496"
"826","15_71","MBE9029516.1",220,1.24e-127,364,90.91,"GO:0006508;GO:0004176;GO:0004252","proteolysis; ATP-dependent peptidase activity; serine-type endopeptidase activity","K01358","ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]","K01358"
"827","15_72","HAO10508.1",199,7.97e-114,327,92.46,"GO:0006508;GO:0004176;GO:0004252;GO:0005737","proteolysis; ATP-dependent peptidase activity; serine-type endopeptidase activity; cytoplasm;cytoplasm;ATP-dependent peptidase activity;serine-type endopeptidase activity","K01358","ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]","K01358"
"828","15_73","BAZ50546.1",389,3.6e-220,614,88.69,"GO:0006310;GO:0032196;GO:0003677","DNA recombination; transposition; DNA binding;DNA binding;transposition","K07496","putative transposase","K07496"
"829","15_74","WP_010873649.1",232,1.09e-44,156,78.88,"GO:0005515","protein binding","K15352","secreted effector protein PipB2","K15352"
"830","15_75","WP_002803525.1",85,1.27e-40,133,84.71,"GO:0045454;GO:0098869;GO:0004362;GO:0097573;GO:0005737;GO:0009055;GO:0015035","cell redox homeostasis; cellular oxidant detoxification; glutathione-disulfide reductase (NADPH) activity; glutathione oxidoreductase activity; cytoplasm;cytoplasm;electron transfer activity;protein disulfide oxidoreductase activity","K03676","glutaredoxin 3","K03676"
"831","15_75","WP_002803525.1",85,1.27e-40,133,84.71,"GO:0045454;GO:0098869;GO:0004362;GO:0097573;GO:0005737;GO:0009055;GO:0015035","cell redox homeostasis; cellular oxidant detoxification; glutathione-disulfide reductase (NADPH) activity; glutathione oxidoreductase activity; cytoplasm;cytoplasm;electron transfer activity;protein disulfide oxidoreductase activity","K03676","glutaredoxin 3","K03676"
"832","15_75","WP_002803525.1",85,1.27e-40,133,84.71,"GO:0045454;GO:0098869;GO:0004362;GO:0097573;GO:0005737;GO:0009055;GO:0015035","cell redox homeostasis; cellular oxidant detoxification; glutathione-disulfide reductase (NADPH) activity; glutathione oxidoreductase activity; cytoplasm;cytoplasm;electron transfer activity;protein disulfide oxidoreductase activity","K03676","glutaredoxin 3","K03676"
"833","15_75","WP_002803525.1",85,1.27e-40,133,84.71,"GO:0045454;GO:0098869;GO:0004362;GO:0097573;GO:0005737;GO:0009055;GO:0015035","cell redox homeostasis; cellular oxidant detoxification; glutathione-disulfide reductase (NADPH) activity; glutathione oxidoreductase activity; cytoplasm;cytoplasm;electron transfer activity;protein disulfide oxidoreductase activity","K03676","glutaredoxin 3","K03676"
"834","15_75","WP_002803525.1",85,1.27e-40,133,84.71,"GO:0045454;GO:0098869;GO:0004362;GO:0097573;GO:0005737;GO:0009055;GO:0015035","cell redox homeostasis; cellular oxidant detoxification; glutathione-disulfide reductase (NADPH) activity; glutathione oxidoreductase activity; cytoplasm;cytoplasm;electron transfer activity;protein disulfide oxidoreductase activity","K03676","glutaredoxin 3","K03676"
"835","15_75","WP_002803525.1",85,1.27e-40,133,84.71,"GO:0045454;GO:0098869;GO:0004362;GO:0097573;GO:0005737;GO:0009055;GO:0015035","cell redox homeostasis; cellular oxidant detoxification; glutathione-disulfide reductase (NADPH) activity; glutathione oxidoreductase activity; cytoplasm;cytoplasm;electron transfer activity;protein disulfide oxidoreductase activity","K03676","glutaredoxin 3","K03676"
"836","15_75","WP_002803525.1",85,1.27e-40,133,84.71,"GO:0045454;GO:0098869;GO:0004362;GO:0097573;GO:0005737;GO:0009055;GO:0015035","cell redox homeostasis; cellular oxidant detoxification; glutathione-disulfide reductase (NADPH) activity; glutathione oxidoreductase activity; cytoplasm;cytoplasm;electron transfer activity;protein disulfide oxidoreductase activity","K03676","glutaredoxin 3","K03676"
"837","15_75","WP_002803525.1",85,1.27e-40,133,84.71,"GO:0045454;GO:0098869;GO:0004362;GO:0097573;GO:0005737;GO:0009055;GO:0015035","cell redox homeostasis; cellular oxidant detoxification; glutathione-disulfide reductase (NADPH) activity; glutathione oxidoreductase activity; cytoplasm;cytoplasm;electron transfer activity;protein disulfide oxidoreductase activity","K03676","glutaredoxin 3","K03676"
"838","15_75","WP_002803525.1",85,1.27e-40,133,84.71,"GO:0045454;GO:0098869;GO:0004362;GO:0097573;GO:0005737;GO:0009055;GO:0015035","cell redox homeostasis; cellular oxidant detoxification; glutathione-disulfide reductase (NADPH) activity; glutathione oxidoreductase activity; cytoplasm;cytoplasm;electron transfer activity;protein disulfide oxidoreductase activity","K03676","glutaredoxin 3","K03676"
"839","15_76","NEP56681.1",318,5.41e-159,451,82.7,"GO:0006750;GO:0004363;GO:0005524;GO:0046872","glutathione biosynthetic process; glutathione synthase activity; ATP binding; metal ion binding","K01920","glutathione synthase [EC:6.3.2.3]","K01920"
"840","15_77","REJ56117.1",301,3.96e-133,384,77.41,"GO:0042372;GO:0004659;GO:0005886;GO:0016021;GO:0016765;GO:0005887","phylloquinone biosynthetic process; prenyltransferase activity; plasma membrane; integral component of membrane; transferase activity, transferring alkyl or aryl (other than methyl) groups;integral component of plasma membrane;prenyltransferase activity","K23094","2-carboxy-1,4-naphthoquinone phytyltransferase [EC:2.5.1.130]","K23094"
"841","15_78","TVQ42581.1",451,1.12e-137,409,65.19,"GO:0009058;GO:0008909","biosynthetic process; isochorismate synthase activity;isochorismate synthase activity","K02552","menaquinone-specific isochorismate synthase [EC:5.4.4.2]","K02552"
"842","15_79","MBE7527790.1",745,6.55e-305,866,72.89,"GO:0016051;GO:0003824","carbohydrate biosynthetic process; catalytic activity","K01654","N-acetylneuraminate synthase [EC:2.5.1.56]","K01654"
"843","15_83","WP_172674369.1",621,2.04e-131,416,56.36,"GO:0005975;GO:0003824","carbohydrate metabolic process; catalytic activity","K00701","cyclomaltodextrin glucanotransferase [EC:2.4.1.19]","K00701"
"844","15_84","ACC83439.1",304,8.38e-84,283,66.45,"GO:0006468;GO:0004672;GO:0005515;GO:0005524;GO:0106310;GO:0106311","protein phosphorylation; protein kinase activity; protein binding; ATP binding;ATP binding;protein serine kinase activity;protein threonine kinase activity","K12602","WD repeat-containing protein 61","K12602"
"845","15_86","WP_096830168.1",138,8.62e-48,155,72.46,"GO:0003676;GO:0004518","nucleic acid binding; nuclease activity","WP_096830168.1","XisH family protein","none"
"846","15_87","WP_193870648.1",144,1.52e-06,50.8,54.17,"GO:0005515","protein binding","K14963","COMPASS component SWD3","K14963"
"847","15_88","WP_190671340.1",482,5.03e-119,406,66.6,"GO:0005515","protein binding","K10341","WD repeat and SOCS box-containing protein 1","K10341"
"848","15_89","WP_071103062.1",206,2.75e-84,260,76.7,"GO:0090305;GO:0003676;GO:0004519","nucleic acid phosphodiester bond hydrolysis; nucleic acid binding; endonuclease activity;endonuclease activity;nucleic acid binding","K09952","CRISPR-associated endonuclease Csn1 [EC:3.1.-.-]","K09952"
"849","15_91","MBD0342790.1",266,2.58e-89,271,72.56,"GO:0071586;GO:0004222;GO:0016020","CAAX-box protein processing; metalloendopeptidase activity; membrane","K07052","uncharacterized protein","K07052"
"850","15_92","WP_100899825.1",97,7.86e-45,144,85.57,"GO:0006508;GO:0030163","proteolysis; protein catabolic process","K06891","ATP-dependent Clp protease adaptor protein ClpS","K06891"
"851","15_94","CCQ61769.1",848,0,1665,99.88,"GO:0009059;GO:0005524;GO:0046872;GO:0071160;GO:0071161;GO:0009058;GO:0016874","macromolecule biosynthetic process; ATP binding; metal ion binding; cyanophycin synthetase activity (L-aspartate-adding); cyanophycin synthetase activity (L-arginine-adding);biosynthetic process; macromolecule biosynthetic process; ligase activity;ATP binding;cyanophycin synthetase activity (L-arginine-adding);cyanophycin synthetase activity (L-aspartate-adding);metal ion binding","K03802","cyanophycin synthetase [EC:6.3.2.29 6.3.2.30]","K03802"
"852","15_95","WP_007308443.1",287,3.74e-209,575,100,"GO:0006508;GO:0044260;GO:0004180;GO:0008236;GO:0016787","proteolysis; cellular macromolecule metabolic process; carboxypeptidase activity; serine-type peptidase activity; hydrolase activity;serine-type peptidase activity","K13282","cyanophycinase [EC:3.4.15.6]","K13282"
"853","15_95","WP_007308443.1",287,3.74e-209,575,100,"GO:0006508;GO:0044260;GO:0004180;GO:0008236;GO:0016787","proteolysis; cellular macromolecule metabolic process; carboxypeptidase activity; serine-type peptidase activity; hydrolase activity;carboxypeptidase activity;serine-type peptidase activity","K13282","cyanophycinase [EC:3.4.15.6]","K13282"
"854","15_95","WP_007308443.1",287,3.74e-209,575,100,"GO:0006508;GO:0044260;GO:0004180;GO:0008236;GO:0016787","proteolysis; cellular macromolecule metabolic process; carboxypeptidase activity; serine-type peptidase activity; hydrolase activity;carboxypeptidase activity;serine-type peptidase activity","K13282","cyanophycinase [EC:3.4.15.6]","K13282"
"855","15_96","TRV43331.1",227,3.1e-115,334,81.5,"GO:0008033;GO:0052906","tRNA processing; tRNA (guanine(37)-N(1))-methyltransferase activity","K00554","tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]","K00554"
"856","15_97","WP_194009788.1",637,3.82e-295,823,77.08,"GO:0016491;GO:0051537;GO:0016020","oxidoreductase activity; 2 iron, 2 sulfur cluster binding; membrane","K09879","carotenoid phi-ring synthase / carotenoid chi-ring synthase [EC:1.3.99.39 1.3.99.40]","K09879"
"857","15_106","WP_168646190.1",323,1.34e-137,397,77.4,"GO:0016301","kinase activity","K00847","fructokinase [EC:2.7.1.4]","K00847"
"858","15_107","NQV16574.1",95,1.62e-40,134,83.16,"GO:0003677","DNA binding","K21498","antitoxin HigA-1","K21498"
"859","15_118","MBD0363138.1",322,2.5e-108,325,68.94,"GO:0000160","phosphorelay signal transduction system","K07814","putative two-component system response regulator","K07814"
"860","15_119","WP_088570045.1",803,1.05e-250,721,67.25,"GO:0046944;GO:0003725;GO:0008270;GO:0016743;GO:0046872","protein carbamoylation; double-stranded RNA binding; zinc ion binding; carboxyl- or carbamoyltransferase activity; metal ion binding","K04656","hydrogenase maturation protein HypF","K04656"
"861","15_120","PSO89601.1",745,0,922,77.45,"GO:0003723;GO:0004540;GO:0003676","RNA binding; ribonuclease activity;nucleic acid binding; RNA binding","K12573","ribonuclease R [EC:3.1.13.1]","K12573"
"862","15_121","NET83629.1",230,5.22e-71,224,66.96,"GO:0016020;GO:0016021","membrane; integral component of membrane;integral component of membrane","NET83629.1","DUF3153 domain-containing protein","none"
"863","15_124","HAX77519.1",70,1.34e-20,90.5,71.43,"GO:0006310;GO:0032196;GO:0003677","DNA recombination; transposition; DNA binding;DNA binding;transposition","K07496","putative transposase","K07496"
"864","15_125","WP_008275601.1",233,2.19e-156,437,100,"GO:0009052;GO:0004751","pentose-phosphate shunt, non-oxidative branch; ribose-5-phosphate isomerase activity;ribose-5-phosphate isomerase activity","K01807","ribose 5-phosphate isomerase A [EC:5.3.1.6]","K01807"
"865","15_126","CCI18347.1",175,1.64e-50,164,72,"GO:0003676","nucleic acid binding","K12885","heterogeneous nuclear ribonucleoprotein G","K12885"
"866","15_130","MBW4668297.1",187,6.8e-68,211,71.12,"GO:0006777;GO:0003824","Mo-molybdopterin cofactor biosynthetic process; catalytic activity","K03752","molybdenum cofactor guanylyltransferase [EC:2.7.7.77]","K03752"
"867","15_131","NET51173.1",381,3.87e-200,560,87.66,"GO:0016021","integral component of membrane","K07086","uncharacterized protein","K07086"
