	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED]	8_79	TAF10220.1	744	1	4.04E-91	72.84						IPR025668 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	8_80	EAM48959.1	498	1	1.68E-55	96.55						IPR025668 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	8_81	HAG83866.1	210	1	4.37E-14	70.59	1	F:GO:0005515	F:protein binding			IPR015943 (G3DSA:2.130.10.GENE3D); IPR001680 (PROSITE_PROFILES); PS50294 (PROSITE_PROFILES); IPR036322 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED, ANNOTATED]	8_82	WP_190734069.1	876	1	2.57E-93	71.01	3	P:GO:0006813; F:GO:0005242; C:GO:0016021	P:potassium ion transport; F:inward rectifier potassium channel activity; C:integral component of membrane			IPR016449 (PRINTS); G3DSA:1.10.287.70 (GENE3D); IPR013518 (G3DSA:2.60.40.GENE3D); IPR041647 (PFAM); IPR013099 (PFAM); IPR016449 (PANTHER); IPR014756 (SUPERFAMILY); SSF81324 (SUPERFAMILY)	P:GO:0006813; F:GO:0005242; C:GO:0016021	P:potassium ion transport; F:inward rectifier potassium channel activity; C:integral component of membrane
true	[INTERPRO, BLASTED]	8_83	WP_150088122.1	342	1	1.62E-17	60.95						IPR038396 (G3DSA:3.40.50.GENE3D); IPR021866 (PFAM); IPR036513 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	8_84	RMF65174.1	549	1	4.01E-11	56.52	1	F:GO:0005515	F:protein binding			IPR011990 (G3DSA:1.25.40.GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED, ANNOTATED]	8_85	MBW4545964.1	747	1	1.63E-108	77.64	3	P:GO:0006396; F:GO:0003723; F:GO:0008173	P:RNA processing; F:RNA binding; F:RNA methyltransferase activity			IPR001537 (PFAM); G3DSA:1.10.8.590 (GENE3D); IPR029026 (G3DSA:3.40.1280.GENE3D); IPR004384 (PIRSF); IPR004384 (TIGRFAM); IPR004384 (PANTHER); PTHR42786:SF2 (PANTHER); cd18093 (CDD); IPR029028 (SUPERFAMILY)	P:GO:0006396; F:GO:0003723; F:GO:0008173	P:RNA processing; F:RNA binding; F:RNA methyltransferase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	8_86	REJ40396.1	990	1	6.1E-148	78.05	3	P:GO:0009190; P:GO:0035556; F:GO:0005515	P:cyclic nucleotide biosynthetic process; P:intracellular signal transduction; F:protein binding			IPR000253 (SMART); G3DSA:2.60.200.20 (GENE3D); IPR029787 (G3DSA:3.30.70.GENE3D); IPR001054 (PFAM); IPR000253 (PFAM); PTHR43081:SF15 (PANTHER); PTHR43081 (PANTHER); IPR001054 (PROSITE_PROFILES); IPR000253 (PROSITE_PROFILES); IPR000253 (CDD); IPR001054 (CDD); IPR029787 (SUPERFAMILY); IPR008984 (SUPERFAMILY)	P:GO:0009190; P:GO:0035556; F:GO:0005515	P:cyclic nucleotide biosynthetic process; P:intracellular signal transduction; F:protein binding
true	[INTERPRO, BLASTED]	8_87	WP_157462386.1	723	1	1.63E-108	81.82						IPR021468 (PFAM); mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	8_88	KKD39569.1	1236	1	4.95E-12	47.62						G3DSA:3.40.50.150 (GENE3D); IPR006342 (PFAM); IPR006342 (TIGRFAM); PTHR34203:SF12 (PANTHER); PTHR34203 (PANTHER); IPR029063 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	8_89	NCQ69090.1	489	1	2.88E-80	91.03	2	P:GO:0006633; F:GO:0016836	P:fatty acid biosynthetic process; F:hydro-lyase activity			G3DSA:3.10.129.10 (GENE3D); IPR010084 (TIGRFAM); IPR013114 (PFAM); IPR013114 (PANTHER); IPR010084 (HAMAP); cd01288 (CDD); IPR029069 (SUPERFAMILY)	P:GO:0006633; F:GO:0016836	P:fatty acid biosynthetic process; F:hydro-lyase activity
true	[INTERPRO, BLASTED]	8_90	OWY68175.1	759	1	8.32E-124	81.53						G3DSA:3.40.50.720 (GENE3D); IPR016040 (PFAM); PTHR15020 (PANTHER); cd05243 (CDD); IPR036291 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	8_91	WP_012627419.1	1956	1	6.13E-132	78.96	2	P:GO:0006541; F:GO:0004359	P:glutamine metabolic process; F:glutaminase activity	EC:3.5.1.2	Glutaminase	IPR015868 (TIGRFAM); IPR012338 (G3DSA:3.40.710.GENE3D); IPR015868 (PFAM); IPR015868 (PANTHER); PTHR12544:SF29 (PANTHER); IPR015868 (HAMAP); IPR015868 (HAMAP); IPR012338 (SUPERFAMILY); IPR012338 (SUPERFAMILY)	P:GO:0006541; F:GO:0004359	P:glutamine metabolic process; F:glutaminase activity
true	[INTERPRO, BLASTED]	8_92	NQT09627.1	1263	1	5.22E-101	58.77						IPR041698 (PFAM); G3DSA:3.40.50.150 (GENE3D); cd02440 (CDD); IPR029063 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	8_93	WP_068508976.1	336	1	2.72E-56	80.56	1	F:GO:0016984	F:ribulose-bisphosphate carboxylase activity	EC:4.1.1.39	Ribulose-bisphosphate carboxylase	IPR000894 (SMART); IPR036385 (G3DSA:3.30.190.GENE3D); IPR000894 (PFAM); PTHR31262 (PANTHER); PTHR31262:SF0 (PANTHER); IPR000894 (CDD); IPR036385 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	8_94	OIP67752.1	399	1	1.73E-35	71.32	2	P:GO:0110102; F:GO:0044183	P:ribulose bisphosphate carboxylase complex assembly; F:protein folding chaperone			IPR038052 (G3DSA:1.10.1200.GENE3D); IPR003435 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR33791:SF1 (PANTHER); IPR003435 (PANTHER); IPR038052 (SUPERFAMILY)	P:GO:0110102; F:GO:0044183	P:ribulose bisphosphate carboxylase complex assembly; F:protein folding chaperone
true	[INTERPRO, BLASTED, ANNOTATED]	8_95	MBO9999681.1	1419	1	0.0	97.0	3	P:GO:0015977; F:GO:0000287; F:GO:0016984	P:carbon fixation; F:magnesium ion binding; F:ribulose-bisphosphate carboxylase activity			IPR000685 (PFAM); IPR036422 (G3DSA:3.30.70.GENE3D); IPR036376 (G3DSA:3.20.20.GENE3D); IPR017443 (PFAM); SFLDG00301 (SFLD); SFLDG01052 (SFLD); IPR033966 (SFLD); IPR033966 (PANTHER); IPR020888 (HAMAP); IPR020888 (CDD); IPR036422 (SUPERFAMILY); IPR036376 (SUPERFAMILY)	P:GO:0015977; F:GO:0000287; F:GO:0016984	P:carbon fixation; F:magnesium ion binding; F:ribulose-bisphosphate carboxylase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	8_96	NEQ43601.1	1962	1	5.39E-203	61.11	1	F:GO:0004601	F:peroxidase activity			IPR016119 (G3DSA:1.10.606.GENE3D); PTHR34599 (PANTHER); cd03398 (CDD); IPR036938 (SUPERFAMILY); IPR036938 (SUPERFAMILY)	F:GO:0004601	F:peroxidase activity
true	[INTERPRO, BLASTED, ANNOTATED]	8_97	WP_214438353.1	1395	1	1.34E-146	74.56	3	P:GO:0015693; F:GO:0015095; C:GO:0016020	P:magnesium ion transport; F:magnesium ion transmembrane transporter activity; C:membrane			IPR006668 (SMART); IPR000644 (SMART); G3DSA:3.10.580.10 (GENE3D); IPR006667 (PFAM); IPR038076 (G3DSA:1.25.60.GENE3D); IPR000644 (PFAM); IPR006669 (TIGRFAM); IPR006668 (PFAM); IPR036739 (G3DSA:1.10.357.GENE3D); IPR006669 (PANTHER); IPR000644 (PROSITE_PROFILES); IPR000644 (PROSITE_PROFILES); cd04606 (CDD); SSF158791 (SUPERFAMILY); SSF54631 (SUPERFAMILY); IPR036739 (SUPERFAMILY)	P:GO:0006812; P:GO:0015693; F:GO:0008324; F:GO:0015095; C:GO:0016020	P:cation transport; P:magnesium ion transport; F:cation transmembrane transporter activity; F:magnesium ion transmembrane transporter activity; C:membrane
true	[INTERPRO, BLASTED, ANNOTATED]	8_98	MBW4577690.1	1344	1	4.3E-174	77.35	1	F:GO:0005525	F:GTP binding			IPR006073 (PFAM); IPR005225 (TIGRFAM); IPR021147 (PFAM); IPR027417 (G3DSA:3.40.50.GENE3D); PTHR42714 (PANTHER); PTHR42714:SF2 (PANTHER); cd00880 (CDD); IPR027417 (SUPERFAMILY)	F:GO:0005525	F:GTP binding
true	[INTERPRO, BLASTED, ANNOTATED]	8_99	WP_035799601.1	951	1	1.02E-160	89.74	1	F:GO:0016787	F:hydrolase activity			IPR029058 (G3DSA:3.40.50.GENE3D); IPR002925 (PFAM); PTHR46623 (PANTHER); IPR029058 (SUPERFAMILY)	F:GO:0016787	F:hydrolase activity
true	[INTERPRO]	8_100		93									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	8_101	TAF10220.1	555	1	8.63E-72	72.78						IPR025668 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	8_102	TAF10220.1	270	1	1.12E-8	64.71						IPR025668 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	8_103	EAM48959.1	201	1	5.76E-39	100.0						IPR025668 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	8_104	TVQ13133.1	561	1	5.1E-100	87.63	3	P:GO:0006414; F:GO:0003746; C:GO:0005737	P:translational elongation; F:translation elongation factor activity; C:cytoplasm			IPR001059 (SMART); IPR015365 (SMART); IPR015365 (PFAM); IPR020599 (PIRSF); IPR013185 (PFAM); IPR001059 (PFAM); G3DSA:2.40.50.140 (GENE3D); IPR011768 (TIGRFAM); IPR014722 (G3DSA:2.30.30.GENE3D); G3DSA:2.40.50.140 (GENE3D); PTHR30053:SF12 (PANTHER); IPR020599 (PANTHER); IPR011768 (HAMAP); IPR015365 (CDD); IPR001059 (CDD); IPR008991 (SUPERFAMILY); IPR012340 (SUPERFAMILY); IPR012340 (SUPERFAMILY)	P:GO:0006414; P:GO:0043043; F:GO:0003746; C:GO:0005737	P:translational elongation; P:peptide biosynthetic process; F:translation elongation factor activity; C:cytoplasm
true	[INTERPRO, BLASTED, ANNOTATED]	8_105	WP_084990127.1	471	1	2.79E-54	71.34	3	P:GO:0006633; F:GO:0003989; C:GO:0009317	P:fatty acid biosynthetic process; F:acetyl-CoA carboxylase activity; C:acetyl-CoA carboxylase complex			IPR001249 (PRINTS); IPR001249 (TIGRFAM); IPR000089 (PFAM); G3DSA:2.40.50.100 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR43416:SF4 (PANTHER); PTHR43416 (PANTHER); IPR000089 (PROSITE_PROFILES); cd06850 (CDD); IPR011053 (SUPERFAMILY)	P:GO:0006633; F:GO:0003989; C:GO:0009317	P:fatty acid biosynthetic process; F:acetyl-CoA carboxylase activity; C:acetyl-CoA carboxylase complex
true	[INTERPRO, BLASTED, ANNOTATED]	8_106	WP_194031457.1	996	1	6.64E-216	94.86	3	P:GO:0009082; F:GO:0004455; F:GO:0050661	P:branched-chain amino acid biosynthetic process; F:ketol-acid reductoisomerase activity; F:NADP binding			IPR013116 (PFAM); IPR000506 (PFAM); G3DSA:6.10.240.10 (GENE3D); IPR014359 (PIRSF); G3DSA:3.40.50.720 (GENE3D); IPR013023 (TIGRFAM); PTHR21371:SF1 (PANTHER); IPR013023 (PANTHER); IPR013023 (HAMAP); IPR000506 (PROSITE_PROFILES); IPR013116 (PROSITE_PROFILES); IPR036291 (SUPERFAMILY); IPR008927 (SUPERFAMILY)	P:GO:0009082; F:GO:0004455; F:GO:0016491; F:GO:0050661	P:branched-chain amino acid biosynthetic process; F:ketol-acid reductoisomerase activity; F:oxidoreductase activity; F:NADP binding
true	[INTERPRO]	8_107		624									mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	8_108	WP_107668965.1	564	1	3.63E-63	77.22						IPR010095 (TIGRFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	8_109	WP_021834648.1	3621	1	5.7E-272	99.48						IPR040840 (PFAM); IPR018003 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	8_110	WP_202219211.1	2298	1	3.55E-259	69.3	1	C:GO:0005737	C:cytoplasm			IPR003284 (PRINTS); IPR022045 (PFAM); IPR003284 (PFAM); SSF69318 (SUPERFAMILY)	C:GO:0005737	C:cytoplasm
true	[INTERPRO, BLASTED, MAPPED]	8_111	WP_012595481.1	387	1	2.11E-82	95.24	3	P:GO:0006310; P:GO:0032196; F:GO:0003677	P:DNA recombination; P:transposition; F:DNA binding			no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED]	8_112	WP_012595481.1	423	1	1.64E-77	96.38	3	P:GO:0006310; P:GO:0032196; F:GO:0003677	P:DNA recombination; P:transposition; F:DNA binding			IPR001959 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED]	8_113	WP_012595481.1	234	1	2.8E-37	96.92	3	P:GO:0006310; P:GO:0032196; F:GO:0003677	P:DNA recombination; P:transposition; F:DNA binding			IPR010095 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	8_114	WP_124491028.1	2421	1	3.91E-141	49.08						IPR022044 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	8_115	WP_124491028.1	621	1	8.06E-53	63.24						IPR041508 (PFAM); G3DSA:2.180.10.10 (GENE3D)	no GO terms	no GO terms
true	[INTERPRO]	8_116		204									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	8_117	AFZ33625.1	192	1	9.89E-6	60.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO]	8_118		201									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	8_119	MXX56181.1	243	1	9.79E-18	70.0						G3DSA:3.40.1620.10 (GENE3D); TIGR01552 (TIGRFAM); IPR006442 (PFAM); IPR036165 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	8_120	MBW4619099.1	387	1	3.18E-44	68.99						G3DSA:3.40.50.1010 (GENE3D); IPR002716 (PFAM); PTHR36173:SF2 (PANTHER); PTHR36173 (PANTHER); IPR041705 (CDD); IPR029060 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO]	8_121		243									mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	8_122	WP_138073570.1	741	1	6.65E-32	58.82						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	8_123	KFF41384.1	1518	1	3.55E-211	76.74	3	P:GO:0019354; F:GO:0004852; F:GO:0008168	P:siroheme biosynthetic process; F:uroporphyrinogen-III synthase activity; F:methyltransferase activity	EC:4; EC:2.1.1	Lyases; Transferring one-carbon groups	IPR036108 (G3DSA:3.40.50.GENE3D); IPR014777 (G3DSA:3.40.1010.GENE3D); IPR000878 (PFAM); IPR014776 (G3DSA:3.30.950.GENE3D); IPR006366 (TIGRFAM); IPR003754 (PFAM); PTHR45790:SF3 (PANTHER); PTHR45790 (PANTHER); IPR003754 (CDD); IPR006366 (CDD); IPR035996 (SUPERFAMILY); IPR036108 (SUPERFAMILY)	P:GO:0019354; P:GO:0033014; F:GO:0004852; F:GO:0008168	P:siroheme biosynthetic process; P:tetrapyrrole biosynthetic process; F:uroporphyrinogen-III synthase activity; F:methyltransferase activity
true	[INTERPRO, BLASTED, ANNOTATED]	8_124	WP_193873117.1	1440	1	1.81E-146	79.5	3	P:GO:0006468; F:GO:0004672; F:GO:0005524	P:protein phosphorylation; F:protein kinase activity; F:ATP binding			IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); mobidb-lite (MOBIDB_LITE); PTHR24363 (PANTHER); PTHR24363:SF0 (PANTHER); IPR000719 (PROSITE_PROFILES); cd14014 (CDD); IPR011009 (SUPERFAMILY)	P:GO:0006468; F:GO:0004672; F:GO:0005524	P:protein phosphorylation; F:protein kinase activity; F:ATP binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	8_125	WP_069968297.1	777	1	1.53E-116	82.07	3	P:GO:0009236; P:GO:0032259; F:GO:0046026	P:cobalamin biosynthetic process; P:methylation; F:precorrin-4 C11-methyltransferase activity	EC:2.1.1.133	Precorrin-4 C(11)-methyltransferase	IPR000878 (PFAM); IPR014777 (G3DSA:3.40.1010.GENE3D); IPR014776 (G3DSA:3.30.950.GENE3D); IPR006362 (TIGRFAM); PTHR45790 (PANTHER); PTHR45790:SF4 (PANTHER); IPR006362 (CDD); IPR035996 (SUPERFAMILY)	P:GO:0009236; F:GO:0008168; F:GO:0046026	P:cobalamin biosynthetic process; F:methyltransferase activity; F:precorrin-4 C11-methyltransferase activity
true	[INTERPRO, BLASTED]	8_126	MBP0000460.1	846	1	4.29E-20	54.69						IPR010802 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED]	8_127	NET86611.1	1368	1	2.54E-105	59.39	5	F:GO:0016740; F:GO:0016757; C:GO:0005886; C:GO:0016020; C:GO:0016021	F:transferase activity; F:glycosyltransferase activity; C:plasma membrane; C:membrane; C:integral component of membrane			IPR038731 (PFAM); PTHR33908:SF3 (PANTHER); PTHR33908 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED]	8_128	PSB46750.1	660	1	3.26E-23	59.35	4	P:GO:0015628; C:GO:0015627; C:GO:0016020; C:GO:0016021	P:protein secretion by the type II secretion system; C:type II protein secretion system complex; C:membrane; C:integral component of membrane			IPR031975 (PFAM); IPR012902 (PFAM); IPR012902 (TIGRFAM); G3DSA:3.30.700.10 (GENE3D); SSF54523 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO]	8_129		228									no IPS match	no IPS match	no IPS match
true	[INTERPRO]	8_130		444									mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	8_131	HER13274.1	1587	1	9.85E-35	49.72						IPR012675 (G3DSA:3.10.20.GENE3D); IPR004095 (PFAM); PTHR21262:SF36 (PANTHER); PTHR21262 (PANTHER); IPR004095 (PROSITE_PROFILES); IPR012676 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	8_132	PZV27235.1	312	1	2.2E-59	96.08	4	P:GO:0006457; F:GO:0005524; F:GO:0016887; C:GO:0005737	P:protein folding; F:ATP binding; F:ATP hydrolysis activity; C:cytoplasm			IPR020818 (PRINTS); IPR020818 (SMART); IPR037124 (G3DSA:2.30.33.GENE3D); IPR020818 (PFAM); IPR020818 (PANTHER); PTHR10772:SF24 (PANTHER); IPR020818 (HAMAP); IPR020818 (CDD); IPR011032 (SUPERFAMILY)	P:GO:0006457; F:GO:0005524; F:GO:0016887	P:protein folding; F:ATP binding; F:ATP hydrolysis activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	8_133	AUC60860.1	1623	1	0.0	94.27	5	P:GO:0042026; F:GO:0005524; F:GO:0016887; F:GO:0051082; C:GO:0005737	P:protein refolding; F:ATP binding; F:ATP hydrolysis activity; F:unfolded protein binding; C:cytoplasm			IPR001844 (PRINTS); IPR027413 (G3DSA:1.10.560.GENE3D); IPR027409 (G3DSA:3.50.7.GENE3D); IPR027410 (G3DSA:3.30.260.GENE3D); IPR002423 (PFAM); IPR001844 (TIGRFAM); PTHR45633:SF41 (PANTHER); PTHR45633 (PANTHER); IPR001844 (HAMAP); IPR001844 (CDD); IPR027409 (SUPERFAMILY); IPR027410 (SUPERFAMILY); IPR027413 (SUPERFAMILY)	P:GO:0042026; F:GO:0005524; F:GO:0016887	P:protein refolding; F:ATP binding; F:ATP hydrolysis activity
true	[INTERPRO, BLASTED]	8_134	WP_207372556.1	846	1	1.07E-13	40.57						IPR031325 (PFAM); G3DSA:2.180.10.10 (GENE3D); IPR006530 (TIGRFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	8_135	NJL79254.1	3114	1	7.97E-52	62.39						IPR001304 (SMART); IPR031325 (PFAM); G3DSA:2.180.10.10 (GENE3D); IPR001304 (PFAM); G3DSA:2.180.10.10 (GENE3D); IPR016186 (G3DSA:3.10.100.GENE3D); IPR006530 (TIGRFAM); PTHR32305 (PANTHER); PTHR32305:SF15 (PANTHER); PTHR32305 (PANTHER); PTHR32305:SF15 (PANTHER); IPR001304 (PROSITE_PROFILES); IPR034007 (CDD); IPR016187 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO]	8_136		306									mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	9_1	NEO52477.1	240	1	3.35E-25	67.95						IPR019270 (PFAM)	no GO terms	no GO terms
true	[INTERPRO]	9_2		504									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	9_3	MBE7472959.1	1374	1	4.43E-237	82.02	4	P:GO:0006099; P:GO:0006106; F:GO:0004333; C:GO:0045239	P:tricarboxylic acid cycle; P:fumarate metabolic process; F:fumarate hydratase activity; C:tricarboxylic acid cycle enzyme complex			IPR000362 (PRINTS); IPR005677 (TIGRFAM); G3DSA:1.20.200.10 (GENE3D); IPR022761 (PFAM); G3DSA:1.10.40.30 (GENE3D); IPR018951 (PFAM); IPR024083 (G3DSA:1.10.275.GENE3D); IPR005677 (PANTHER); IPR005677 (HAMAP); IPR005677 (CDD); IPR008948 (SUPERFAMILY)	P:GO:0006099; P:GO:0006106; F:GO:0003824; F:GO:0004333; F:GO:0016829; C:GO:0045239	P:tricarboxylic acid cycle; P:fumarate metabolic process; F:catalytic activity; F:fumarate hydratase activity; F:lyase activity; C:tricarboxylic acid cycle enzyme complex
true	[INTERPRO]	9_4		105									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	9_5	NJO85861.1	756	1	7.8E-40	69.43						IPR021373 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	9_6	WP_181280521.1	1200	1	2.14E-144	80.57	1	F:GO:0005515	F:protein binding			IPR019734 (SMART); IPR019734 (PFAM); IPR001173 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); IPR001440 (PFAM); IPR029044 (G3DSA:3.90.550.GENE3D); IPR011990 (G3DSA:1.25.40.GENE3D); PF13424 (PFAM); IPR013105 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); PTHR43630:SF3 (PANTHER); PTHR43630 (PANTHER); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); IPR019734 (PROSITE_PROFILES); cd02511 (CDD); IPR011990 (SUPERFAMILY); IPR029044 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED]	9_7	BCU11316.1	474	1	6.51E-89	87.9						IPR012337 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED]	9_8	CAO91148.1	432	1	1.22E-61	87.02	3	P:GO:0006313; F:GO:0003677; F:GO:0004803	P:transposition, DNA-mediated; F:DNA binding; F:transposase activity			no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	9_9	WP_213504960.1	642	1	2.62E-79	72.91	1	F:GO:0003676	F:nucleic acid binding			IPR038717 (PFAM); IPR036397 (G3DSA:3.30.420.GENE3D)	F:GO:0003676	F:nucleic acid binding
true	[INTERPRO, BLASTED]	9_10	WP_007307495.1	462	1	4.17E-97	98.04						PF13384 (PFAM); IPR009057 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	9_11	WP_193745190.1	720	1	1.15E-124	90.09						PTHR34614 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	9_12	MBE5230545.1	1533	1	1.59E-206	80.6						IPR013597 (PFAM); IPR030931 (TIGRFAM); IPR000477 (PFAM); IPR025960 (PFAM); PTHR34047 (PANTHER); PTHR34047:SF8 (PANTHER); IPR000477 (PROSITE_PROFILES); cd01651 (CDD); IPR043502 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	9_13	NQZ61330.1	468	1	5.8E-66	82.19						IPR001959 (PFAM); IPR010095 (TIGRFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	9_14	WP_007307495.1	537	1	1.43E-106	99.39						PF13384 (PFAM); PF13565 (PFAM); IPR009057 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	9_15	WP_213504960.1	480	1	1.84E-60	73.38	1	F:GO:0003676	F:nucleic acid binding			IPR038717 (PFAM); IPR036397 (G3DSA:3.30.420.GENE3D)	F:GO:0003676	F:nucleic acid binding
true	[INTERPRO, BLASTED]	9_16	NQZ61330.1	327	1	3.81E-54	94.34						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	9_17	MBV9389810.1	138	1	7.65E-6	75.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	9_18	NEQ75007.1	744	1	2.04E-97	75.61						G3DSA:1.20.120.1630 (GENE3D); IPR009915 (PFAM); IPR033580 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	9_19	AVH72972.1	408	1	3.46E-46	75.94						IPR025567 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED]	9_20	WP_044106418.1	264	1	2.7E-23	71.23	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane			PTHR36046 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	9_21	PSO79653.1	1317	1	9.08E-245	83.98	2	F:GO:0030145; F:GO:0070006	F:manganese ion binding; F:metalloaminopeptidase activity			IPR007865 (SMART); IPR029149 (G3DSA:3.40.350.GENE3D); IPR000994 (PFAM); IPR007865 (PFAM); IPR036005 (G3DSA:3.90.230.GENE3D); PTHR43226:SF7 (PANTHER); PTHR43226 (PANTHER); cd01087 (CDD); IPR029149 (SUPERFAMILY); IPR036005 (SUPERFAMILY)	F:GO:0030145; F:GO:0070006	F:manganese ion binding; F:metalloaminopeptidase activity
true	[INTERPRO, BLASTED]	9_22	WP_007304532.1	321	1	1.14E-45	95.35						IPR025668 (PFAM); mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	9_23	WP_007304532.1	657	1	6.81E-127	94.29						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	9_24	WP_007304532.1	150	1	7.78E-20	97.87						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	9_25	WP_007304532.1	255	1	3.97E-49	100.0						no IPS match	no IPS match	no IPS match
