yourlist:M20210906F248CABF64506F29A91F8037F07B67D11995558	Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (GO)	Gene ontology IDs
HAC65910.1	A0A3B8YEH3	A0A3B8YEH3_9CYAN	unreviewed	UPF0367 protein DCF68_20850	DCF68_20850	Cyanothece sp. UBA12306	91		
RPH90494.1	A0A3N5IPW5	A0A3N5IPW5_9CHRO	unreviewed	Protein translocase subunit SecA	secA EHM73_06195	Chroococcales cyanobacterium metabat2.561	938	plasma membrane-derived thylakoid membrane [GO:0031676]; ATP binding [GO:0005524]; intracellular protein transmembrane transport [GO:0065002]; protein import [GO:0017038]; protein targeting [GO:0006605]	GO:0005524; GO:0006605; GO:0017038; GO:0031676; GO:0065002
NEQ23070.1	A0A6P0QJ16	A0A6P0QJ16_9CYAN	unreviewed	Winged helix-turn-helix transcriptional regulator	F6K28_28735	Microcoleus sp. SIO2G3	109	DNA-binding transcription factor activity [GO:0003700]	GO:0003700
NER19287.1	A0A6P0UUK4	A0A6P0UUK4_9CYAN	unreviewed	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	F6J96_00670	Symploca sp. SIO1C2	185	5-formyltetrahydrofolate cyclo-ligase activity [GO:0030272]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]	GO:0005524; GO:0030272; GO:0046872
KAA1282571.1	A0A641AE17	A0A641AE17_9CHLR	unreviewed	PhzF family phenazine biosynthesis protein	EGP12_06865	SAR202 cluster bacterium	298	catalytic activity [GO:0003824]; biosynthetic process [GO:0009058]	GO:0003824; GO:0009058
NEQ84409.1	A0A6P0ST86	A0A6P0ST86_9CYAN	unreviewed	Peptide ABC transporter substrate-binding protein	F6K26_30830	Moorea sp. SIO2I5	574	ATP-binding cassette (ABC) transporter complex [GO:0043190]; transmembrane transport [GO:0055085]	GO:0043190; GO:0055085
RCJ27979.1	A0A367QVL8	A0A367QVL8_9NOSO	unreviewed	Uncharacterized protein	A6770_24860	Nostoc minutum NIES-26	76	endonuclease activity [GO:0004519]; mRNA binding [GO:0003729]	GO:0003729; GO:0004519
HAC65022.1	A0A3B8Y8C2	A0A3B8Y8C2_9CYAN	unreviewed	ArsR family transcriptional regulator	DCF68_16190	Cyanothece sp. UBA12306	122	DNA-binding transcription factor activity [GO:0003700]	GO:0003700
PHM07458.1	A0A2D0HD66	A0A2D0HD66_9NOSO	unreviewed	Transcriptional repressor	CK516_26940	Nostoc sp. 'Peltigera malacea cyanobiont' DB3992	134	DNA-binding transcription factor activity [GO:0003700]	GO:0003700
AFZ34487.1	K9XS39	K9XS39_STAC7	unreviewed	"Two component transcriptional regulator, winged helix family"	Sta7437_0902	Stanieria cyanosphaera (strain ATCC 29371 / PCC 7437)	251	"DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]"	GO:0000160; GO:0003677; GO:0006355
BAU67411.1	A0A140KDI4	A0A140KDI4_9CYAN	unreviewed	Ribosomal-protein-alanine acetyltransferase	STA3757_48280	Stanieria sp. NIES-3757	206	N-acetyltransferase activity [GO:0008080]; N-terminal protein amino acid acetylation [GO:0006474]	GO:0006474; GO:0008080
RMD69494.1	A0A3M0YDS6	A0A3M0YDS6_9CYAN	unreviewed	Uncharacterized protein	D6822_05370	Cyanobacteria bacterium J149	519		
SDA71823.1	A0A1G5XMZ9	A0A1G5XMZ9_9RHIZ	unreviewed	Autotransporter adhesin	SAMN03159448_02535	Sinorhizobium sp. NFACC03	9021	calcium ion binding [GO:0005509]	GO:0005509
AKV68991.1	A0A0K1S4R5	A0A0K1S4R5_9CHRO	unreviewed	Retron-type RNA-directed DNA polymerase	VL20_4043	Microcystis panniformis FACHB-1757	145	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964
EHJ12148.1	G5J6P7	G5J6P7_CROWT	unreviewed	RNA-directed DNA polymerase (Reverse transcriptase):HNH endonuclease (Fragment)	CWATWH0003_3145t1	Crocosphaera watsonii WH 0003	361	endonuclease activity [GO:0004519]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964; GO:0004519
BBD55335.1	A0A2Z6CG54	A0A2Z6CG54_PLAAG	unreviewed	FGE-sulfatase domain-containing protein	NIES204_26400	Planktothrix agardhii NIES-204	443		
HAX80486.1	A0A350XMG8	A0A350XMG8_9CYAN	unreviewed	Coproporphyrin III ferrochelatase (EC 4.99.1.9)	DCY88_32785	Cyanobacteria bacterium UBA11372	374	ferrochelatase activity [GO:0004325]; heme biosynthetic process [GO:0006783]	GO:0004325; GO:0006783
HAC63968.1	A0A3B8Y3W9	A0A3B8Y3W9_9CYAN	unreviewed	Uncharacterized protein	DCF68_10625	Cyanothece sp. UBA12306	122	integral component of membrane [GO:0016021]	GO:0016021
TRU32295.1	A0A552ECR1	A0A552ECR1_MICAE	unreviewed	Universal stress protein	EWV78_18630	Microcystis aeruginosa Ma_MB_F_20061100_S20D	162	cytoplasm [GO:0005737]	GO:0005737
TVP62820.1	A0A6P1ZVG9	A0A6P1ZVG9_9CYAN	unreviewed	ABC transporter substrate-binding protein	EA343_09795	Nodularia sp. (in: Bacteria)	393	integral component of membrane [GO:0016021]; ligand-gated ion channel activity [GO:0015276]	GO:0015276; GO:0016021
HBB34954.1	A0A352ANC2	A0A352ANC2_9CYAN	unreviewed	Peptidase S1 domain-containing protein	DC064_25005	Cyanobacteria bacterium UBA9273	1386	extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; serine-type endopeptidase activity [GO:0004252]; toxin activity [GO:0090729]; cell communication [GO:0007154]; pathogenesis [GO:0009405]	GO:0004252; GO:0005509; GO:0005576; GO:0007154; GO:0009405; GO:0016021; GO:0090729
RJQ73657.1	A0A419HG82	A0A419HG82_9PSEU	unreviewed	NACHT domain-containing protein	D5S17_23790	Pseudonocardiaceae bacterium YIM PH 21723	916	integral component of membrane [GO:0016021]	GO:0016021
CEJ42544.1	A0A654SC81	A0A654SC81_9CYAN	unreviewed	Gluconokinase (EC 2.7.1.12)	apha_00300	Chrysosporum ovalisporum	517	ATP binding [GO:0005524]; gluconokinase activity [GO:0046316]; carbohydrate metabolic process [GO:0005975]	GO:0005524; GO:0005975; GO:0046316
NET10486.1	A0A6M0F6Q9	A0A6M0F6Q9_9CYAN	unreviewed	Uncharacterized protein	F6K16_38465	Symploca sp. SIO2B6	514		
HAC63771.1	A0A3B8Y168	A0A3B8Y168_9CYAN	unreviewed	Uncharacterized protein	DCF68_09580	Cyanothece sp. UBA12306	253	integral component of membrane [GO:0016021]	GO:0016021
RPH50220.1	A0A3N5FNQ9	A0A3N5FNQ9_9DELT	unreviewed	DUF86 domain-containing protein	EHM85_11165	Desulfobacteraceae bacterium	110		
PYU22417.1	A0A2V9CT87	A0A2V9CT87_9BACT	unreviewed	Putative pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Pterin carbinolamine dehydratase) (PCD)	DMG30_14845	Acidobacteria bacterium	96	4-alpha-hydroxytetrahydrobiopterin dehydratase activity [GO:0008124]; tetrahydrobiopterin biosynthetic process [GO:0006729]	GO:0006729; GO:0008124
CCQ56191.1	T2IRK9	T2IRK9_CROWT	unreviewed	Pentapeptide repeat	CWATWH0005_319	Crocosphaera watsonii WH 0005	138		
GDX20668.1	A0A4P5RLV3	A0A4P5RLV3_9ACTN	unreviewed	Amino_oxidase domain-containing protein	LBMAG07_15890	Actinobacteria bacterium	313	oxidoreductase activity [GO:0016491]	GO:0016491
REJ51199.1	A0A3E0LUJ8	A0A3E0LUJ8_MICAE	unreviewed	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA DWQ58_14185	Microcystis aeruginosa TA09	437	cytoplasm [GO:0005737]; UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity [GO:0008760]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylgalactosamine biosynthetic process [GO:0019277]	GO:0005737; GO:0007049; GO:0008360; GO:0008760; GO:0009252; GO:0019277; GO:0051301; GO:0071555
RUR73284.1	A0A3S1A9Q9	A0A3S1A9Q9_CHLFR	unreviewed	"NAD(P)H-quinone oxidoreductase chain 4 (EC 7.1.1.-) (NAD(P)H dehydrogenase I, chain 4) (NDH-1, chain 4)"	ndhD2 ndhD PCC6912_58090	Chlorogloeopsis fritschii PCC 6912	536	integral component of membrane [GO:0016021]; plasma membrane-derived thylakoid membrane [GO:0031676]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]; ATP synthesis coupled electron transport [GO:0042773]	GO:0008137; GO:0016021; GO:0031676; GO:0042773; GO:0048038
BAU41877.1	A0A0X8WST9	A0A0X8WST9_9CYAN	unreviewed	ECF RNA polymerase sigma factor SigE	sigE O77CONTIG1_01695	Leptolyngbya sp. O-77	214	"DNA binding [GO:0003677]; sigma factor activity [GO:0016987]; DNA-templated transcription, initiation [GO:0006352]"	GO:0003677; GO:0006352; GO:0016987
NET50413.1	A0A6P0YY88	A0A6P0YY88_9CYAN	unreviewed	Sulfotransferase (Fragment)	F6K09_17290	Merismopedia sp. SIO2A8	108	sulfotransferase activity [GO:0008146]	GO:0008146
NEO26072.1	A0A6P0JVW4	A0A6P0JVW4_9CYAN	unreviewed	DUF3252 domain-containing protein	F6K03_04035	Kamptonema sp. SIO4C4	61	photosynthetic electron transport chain [GO:0009767]	GO:0009767
ALF53462.1	A0A0M5MIE0	A0A0M5MIE0_9NOSO	unreviewed	Uncharacterized protein (Fragment)	ACX27_12425	Nostoc piscinale CENA21	134		
HAC63565.1	A0A3B8Y3F8	A0A3B8Y3F8_9CYAN	unreviewed	Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]	folD DCF68_08485	Cyanothece sp. UBA12306	294	methenyltetrahydrofolate cyclohydrolase activity [GO:0004477]; methylenetetrahydrofolate dehydrogenase (NADP+) activity [GO:0004488]; histidine biosynthetic process [GO:0000105]; methionine biosynthetic process [GO:0009086]; purine nucleotide biosynthetic process [GO:0006164]; tetrahydrofolate interconversion [GO:0035999]	GO:0000105; GO:0004477; GO:0004488; GO:0006164; GO:0009086; GO:0035999
NER36637.1	A0A7C9PVE5	A0A7C9PVE5_9CYAN	unreviewed	Response regulator transcription factor	F6J93_22075	Oscillatoria sp. SIO1A7	228	"DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]"	GO:0000160; GO:0003677; GO:0006355
OBQ01686.1	A0A1B7UT41	A0A1B7UT41_9NOST	unreviewed	Fumarate reductase iron-sulfur subunit (EC 1.3.5.4)	AN490_19865	Anabaena sp. AL09	351	"2 iron, 2 sulfur cluster binding [GO:0051537]; 3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; fumarate reductase (menaquinone) [GO:0102040]; metal ion binding [GO:0046872]; tricarboxylic acid cycle [GO:0006099]"	GO:0006099; GO:0009055; GO:0046872; GO:0051537; GO:0051538; GO:0051539; GO:0102040
NEO94535.1	A0A6P0M279	A0A6P0M279_9CYAN	unreviewed	CPBP family intramembrane metalloprotease	F6K56_31845	Moorea sp. SIO3G5	272	integral component of membrane [GO:0016021]; metalloendopeptidase activity [GO:0004222]; CAAX-box protein processing [GO:0071586]	GO:0004222; GO:0016021; GO:0071586
NER52709.1	A0A6P0VZI9	A0A6P0VZI9_9CYAN	unreviewed	Aminotransferase (EC 2.6.1.-)	F6J92_39935	Symploca sp. SIO1A3	388	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; biosynthetic process [GO:0009058]	GO:0008483; GO:0009058; GO:0030170
RCJ36798.1	A0A367RJQ8	A0A367RJQ8_NOSPU	unreviewed	Metal-binding protein	A6769_14955	Nostoc punctiforme NIES-2108	114		
PZV25790.1	A0A2W7B5M1	A0A2W7B5M1_9CYAN	unreviewed	Low-complexity protein	DCF12_13110	Snowella sp.	648	integral component of membrane [GO:0016021]	GO:0016021
REJ44316.1	A0A3E0LA68	A0A3E0LA68_9CHRO	unreviewed	Phycocyanobilin:ferredoxin oxidoreductase (EC 1.3.7.5)	pcyA DWQ54_01920	Microcystis flos-aquae TF09	245	cobalt ion binding [GO:0050897]; phycocyanobilin:ferredoxin oxidoreductase activity [GO:0050620]; phytochromobilin biosynthetic process [GO:0010024]	GO:0010024; GO:0050620; GO:0050897
NET30321.1	A0A6M0FTI3	A0A6M0FTI3_9CYAN	unreviewed	Asparagine synthase	F6K01_34955	Okeania sp. SIO1I7	568	asparagine synthase (glutamine-hydrolyzing) activity [GO:0004066]; ATP binding [GO:0005524]; asparagine biosynthetic process [GO:0006529]	GO:0004066; GO:0005524; GO:0006529
REJ40527.1	A0A3E0KZJ4	A0A3E0KZJ4_9CHRO	unreviewed	Transposase	DWQ54_19840	Microcystis flos-aquae TF09	395	DNA binding [GO:0003677]; DNA recombination [GO:0006310]; transposition [GO:0032196]	GO:0003677; GO:0006310; GO:0032196
NET86720.1	A0A6P1A648	A0A6P1A648_9CYAN	unreviewed	Esterase-like activity of phytase family protein	F6K45_01165	Kamptonema sp. SIO1D9	385		
PHS26816.1	A0A2G2LVD0	A0A2G2LVD0_9GAMM	unreviewed	Antitoxin	COA83_02015	Methylophaga sp.	90		
BAY85395.1	A0A1Z4LVW3	A0A1Z4LVW3_9CYAN	unreviewed	Arginyl tRNA synthetase anticodon binding protein	NIES267_48950	Calothrix parasitica NIES-267	287	arginine-tRNA ligase activity [GO:0004814]; ATP binding [GO:0005524]; arginyl-tRNA aminoacylation [GO:0006420]	GO:0004814; GO:0005524; GO:0006420
PSO48829.1	A0A2T2RB50	A0A2T2RB50_9CYAN	unreviewed	Metalloendopeptidase	BRC33_08530	Cyanobacteria bacterium SW_9_44_58	379		
NEO98448.1	A0A6B3M4Z6	A0A6B3M4Z6_9CYAN	unreviewed	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase)	gpsA F6K58_07185	Symploca sp. SIO2E9	317	glycerol-3-phosphate dehydrogenase complex [GO:0009331]; glycerol-3-phosphate dehydrogenase [NAD+] activity [GO:0004367]; glycerol-3-phosphate dehydrogenase [NADP+] activity [GO:0106257]; NAD binding [GO:0051287]; carbohydrate metabolic process [GO:0005975]; glycerol-3-phosphate biosynthetic process [GO:0046167]; glycerol-3-phosphate catabolic process [GO:0046168]; glycerophospholipid metabolic process [GO:0006650]; phospholipid biosynthetic process [GO:0008654]	GO:0004367; GO:0005975; GO:0006650; GO:0008654; GO:0009331; GO:0046167; GO:0046168; GO:0051287; GO:0106257
PSO47608.1	A0A2T2R7N1	A0A2T2R7N1_9CYAN	unreviewed	Uncharacterized protein	BRC33_12385	Cyanobacteria bacterium SW_9_44_58	241		
KAA6185108.1	A0A5M8FJN3	A0A5M8FJN3_9GAMM	unreviewed	DUF1576 domain-containing protein	F2Q65_10300	Thiohalocapsa marina	649	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cation transmembrane transporter activity [GO:0008324]	GO:0005886; GO:0008324; GO:0016021
EHJ14519.1	G5IZW7	G5IZW7_CROWT	unreviewed	Probable aspartoacylase (EC 3.5.1.15)	CWATWH0003_0805	Crocosphaera watsonii WH 0003	293	"aspartoacylase activity [GO:0019807]; hydrolase activity, acting on ester bonds [GO:0016788]; zinc ion binding [GO:0008270]"	GO:0008270; GO:0016788; GO:0019807
BAZ30096.1	A0A1Z4QIN8	A0A1Z4QIN8_9NOST	unreviewed	Uncharacterized protein	NIES4074_25520	Cylindrospermum sp. NIES-4074	228	integral component of membrane [GO:0016021]	GO:0016021
HAO10508.1	A0A3C1RQV1	A0A3C1RQV1_9CYAN	unreviewed	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)	clpP DCQ51_04840	Planktothrix sp. UBA8407	204	cytoplasm [GO:0005737]; ATP-dependent peptidase activity [GO:0004176]; serine-type endopeptidase activity [GO:0004252]	GO:0004176; GO:0004252; GO:0005737
REJ56117.1	A0A3E0M926	A0A3E0M926_9CHRO	unreviewed	"2-carboxy-1,4-naphthoquinone phytyltransferase (EC 2.5.1.130) (1,4-dihydroxy-2-naphthoate phytyltransferase) (DHNA phytyltransferase)"	menA DWQ51_04190	Microcystis wesenbergii TW10	302	integral component of plasma membrane [GO:0005887]; prenyltransferase activity [GO:0004659]; phylloquinone biosynthetic process [GO:0042372]	GO:0004659; GO:0005887; GO:0042372
TVQ42581.1	A0A6P2A8Z6	A0A6P2A8Z6_9CHRO	unreviewed	Isochorismate synthase (EC 5.4.4.2)	EA365_14405	Gloeocapsa sp. DLM2.Bin57	466	isochorismate synthase activity [GO:0008909]; biosynthetic process [GO:0009058]	GO:0008909; GO:0009058
ACC83439.1	B2J253	B2J253_NOSP7	unreviewed	Non-specific serine/threonine protein kinase (EC 2.7.11.1)	Npun_F5105	Nostoc punctiforme (strain ATCC 29133 / PCC 73102)	630	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	GO:0005524; GO:0106310; GO:0106311
CCQ61769.1	T2J9P0	T2J9P0_CROWT	unreviewed	Cyanophycin synthase (EC 6.3.2.29) (EC 6.3.2.30) (Cyanophycin synthetase)	CWATWH0401_1954	Crocosphaera watsonii WH 0401	848	ATP binding [GO:0005524]; cyanophycin synthetase activity (L-arginine-adding) [GO:0071161]; cyanophycin synthetase activity (L-aspartate-adding) [GO:0071160]; metal ion binding [GO:0046872]; macromolecule biosynthetic process [GO:0009059]	GO:0005524; GO:0009059; GO:0046872; GO:0071160; GO:0071161
KAA3604309.1	A0A6H9LA54	A0A6H9LA54_9BACT	unreviewed	T9SS C-terminal target domain-containing protein	DWQ06_04695	Calditrichaeota bacterium	1143		
NET83629.1	A0A6P0ZVW3	A0A6P0ZVW3_9CYAN	unreviewed	DUF3153 domain-containing protein	F6J94_17400	Moorea sp. SIO1F2	277	integral component of membrane [GO:0016021]	GO:0016021
CCI18347.1	I4H8H3	I4H8H3_MICAE	unreviewed	Similar to tr|A0ZJ44_NODSP RNA-binding protein	MICAF_3850007	Microcystis aeruginosa PCC 9807	192	nucleic acid binding [GO:0003676]	GO:0003676
NET51173.1	A0A6P0Z098	A0A6P0Z098_9CYAN	unreviewed	Sodium-dependent bicarbonate transport family permease	F6K09_21350	Merismopedia sp. SIO2A8	381	integral component of membrane [GO:0016021]	GO:0016021
BBA79198.1	A0A2Z5SX78	A0A2Z5SX78_9CYAN	unreviewed	Uncharacterized protein	RGRSB_0643	cyanobacterium endosymbiont of Rhopalodia gibberula	53	integral component of membrane [GO:0016021]	GO:0016021
TVQ13004.1	A0A6C1P438	A0A6C1P438_9BACT	unreviewed	Alpha/beta hydrolase	EA364_07540	Balneolaceae bacterium	224	hydrolase activity [GO:0016787]	GO:0016787
TRT82577.1	A0A552AAQ3	A0A552AAQ3_MICAE	unreviewed	ImmA/IrrE family metallo-endopeptidase	EWV82_11145	Microcystis aeruginosa Ma_AC_P_19900807_S299	330		
NEP16416.1	A0A6I5NT67	A0A6I5NT67_9CYAN	unreviewed	N-acetylmuramoyl-L-alanine amidase	F6J97_05860	Leptolyngbya sp. SIO4C1	503	N-acetylmuramoyl-L-alanine amidase activity [GO:0008745]; peptidoglycan catabolic process [GO:0009253]	GO:0008745; GO:0009253
ELR97106.1	L8LM63	L8LM63_9CHRO	unreviewed	Uncharacterized protein	GLO73106DRAFT_00009100	Gloeocapsa sp. PCC 73106	69		
NER52254.1	A0A6P0VYK7	A0A6P0VYK7_9CYAN	unreviewed	ATP synthase F0 subunit B	F6J92_37555	Symploca sp. SIO1A3	238		
NEO89849.1	A0A6P0LTF8	A0A6P0LTF8_9CYAN	unreviewed	Alpha-D-glucose phosphate-specific phosphoglucomutase (EC 5.4.2.2)	F6K56_06165	Moorea sp. SIO3G5	544	magnesium ion binding [GO:0000287]; phosphoglucomutase activity [GO:0004614]; carbohydrate metabolic process [GO:0005975]	GO:0000287; GO:0004614; GO:0005975
PZV22818.1	A0A326QMR7	A0A326QMR7_9CYAN	unreviewed	Uncharacterized protein	DCF18_08705	Cyanobium sp.	220		
PLX43933.1	A0A2N6BLA6	A0A2N6BLA6_9RHIZ	unreviewed	Phosphate transporter	C0605_03490	Rhizobiales bacterium	494	integral component of membrane [GO:0016021]; inorganic phosphate transmembrane transporter activity [GO:0005315]; phosphate ion transport [GO:0006817]	GO:0005315; GO:0006817; GO:0016021
OEJ79874.1	A0A1E5QZ19	A0A1E5QZ19_9CHRO	unreviewed	Ribonucleoside-diphosphate reductase	A5482_08410	Cyanobacterium sp. IPPAS B-1200	70	oxidoreductase activity [GO:0016491]	GO:0016491
TVP59550.1	A0A6P1ZU76	A0A6P1ZU76_9CYAN	unreviewed	CAAD domain-containing protein	EA343_19790	Nodularia sp. (in: Bacteria)	145	integral component of membrane [GO:0016021]; thylakoid [GO:0009579]	GO:0009579; GO:0016021
TRU44175.1	A0A552FBT6	A0A552FBT6_MICAE	unreviewed	NAD(P)/FAD-dependent oxidoreductase	EWV57_23135	Microcystis aeruginosa Ma_QC_Ch_20071001_S25D	458	oxidoreductase activity [GO:0016491]	GO:0016491
AOX04703.1	A0A1D8U4F8	A0A1D8U4F8_9CYAN	unreviewed	Uncharacterized protein	BJP34_35355	Moorea producens PAL-8-15-08-1	196		
CCQ63868.1	T2JDH1	T2JDH1_CROWT	unreviewed	"Transposase, IS605 OrfB"	CWATWH0401_3980	Crocosphaera watsonii WH 0401	230	DNA binding [GO:0003677]; DNA recombination [GO:0006310]; transposition [GO:0032196]	GO:0003677; GO:0006310; GO:0032196
NER52734.1	A0A6P0VZU7	A0A6P0VZU7_9CYAN	unreviewed	TIGR04168 family protein	F6J92_40065	Symploca sp. SIO1A3	310	hydrolase activity [GO:0016787]	GO:0016787
CCQ53897.1	T2IMA9	T2IMA9_CROWT	unreviewed	Uncharacterized protein	CWATWH0005_846	Crocosphaera watsonii WH 0005	297		
PHS20538.1	A0A2G2LCJ6	A0A2G2LCJ6_9GAMM	unreviewed	Uncharacterized protein	COA86_00895	Kangiella sp.	68		
OBQ36556.1	A0A1B7WHG1	A0A1B7WHG1_9NOST	unreviewed	Aldo/keto reductase	AN487_12665	Anabaena sp. CRKS33	326	D-threo-aldose 1-dehydrogenase activity [GO:0047834]	GO:0047834
CCI19865.1	I4HCU1	I4HCU1_MICAE	unreviewed	tRNA-dihydrouridine(20/20a) synthase (EC 1.3.1.91) (DusA-like U20-specific dihydrouridine synthase) (U20-specific Dus)	dusA MICAF_5620008	Microcystis aeruginosa PCC 9807	353	flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; tRNA binding [GO:0000049]; tRNA-dihydrouridine20 synthase activity [GO:0102264]	GO:0000049; GO:0010181; GO:0050660; GO:0102264
NEP89384.1	A0A6P0NU00	A0A6P0NU00_9CYAN	unreviewed	Universal stress protein	F6K18_22520	Okeania sp. SIO2C2	142		
GCA92477.1	A0A510PFA3	A0A510PFA3_MICAE	unreviewed	Uncharacterized protein	MAE30S32_11290	Microcystis aeruginosa 11-30S32	158		
REJ48932.1	A0A3E0LP34	A0A3E0LP34_9CHRO	unreviewed	N-acetyltransferase	DWQ51_18170	Microcystis wesenbergii TW10	396	transferase activity [GO:0016740]	GO:0016740
NEO98918.1	A0A6B3M689	A0A6B3M689_9CYAN	unreviewed	Tetratricopeptide repeat protein	F6K58_09625	Symploca sp. SIO2E9	1301		
RYE27029.1	A0A4Q3F3T2	A0A4Q3F3T2_9SPHI	unreviewed	Uncharacterized protein	EOP42_19860	Sphingobacteriaceae bacterium	308	integral component of membrane [GO:0016021]	GO:0016021
HBE18860.1	A0A352XA11	A0A352XA11_9CYAN	unreviewed	Chemotaxis protein	DDW51_14930	Cyanobacteria bacterium UBA11367	1832	integral component of membrane [GO:0016021]; protein-chromophore linkage [GO:0018298]; signal transduction [GO:0007165]	GO:0007165; GO:0016021; GO:0018298
NEO58077.1	A0A6M0A0W6	A0A6M0A0W6_9CYAN	unreviewed	Uncharacterized protein	F6K54_36500	Okeania sp. SIO3B5	259	integral component of membrane [GO:0016021]	GO:0016021
EAM48789.1	Q4BY09	Q4BY09_CROWT	unreviewed	Uncharacterized protein	CwatDRAFT_1285	Crocosphaera watsonii WH 8501	127		
NES19808.1	A0A6P0WR27	A0A6P0WR27_9CYAN	unreviewed	Type II toxin-antitoxin system VapC family toxin	F6K41_12980	Caldora sp. SIO3E6	149		
ACB54493.1	B1X2Y2	B1X2Y2_CROS5	unreviewed	Uncharacterized protein	cce_5147	Crocosphaera subtropica (strain ATCC 51142 / BH68) (Cyanothece sp. (strain ATCC 51142))	82		
REJ39041.1	A0A3E0KUY6	A0A3E0KUY6_9CHRO	unreviewed	Methyltransferase domain-containing protein	DWQ54_22850	Microcystis flos-aquae TF09	280	methyltransferase activity [GO:0008168]; methylation [GO:0032259]	GO:0008168; GO:0032259
TRU39550.1	A0A552EYK0	A0A552EYK0_MICAE	unreviewed	DNA-protecting protein DprA	dprA EWV78_02715	Microcystis aeruginosa Ma_MB_F_20061100_S20D	382	DNA mediated transformation [GO:0009294]	GO:0009294
ABK35858.1	A0KLH2	A0KLH2_AERHH	unreviewed	UPF0056 inner membrane protein	AHA_2614	Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC 13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049)	224	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	GO:0005886; GO:0016021
NET09174.1	A0A6M0F340	A0A6M0F340_9CYAN	unreviewed	DUF389 domain-containing protein	F6K16_31620	Symploca sp. SIO2B6	340	integral component of membrane [GO:0016021]	GO:0016021
RJQ59375.1	A0A3A4WR08	A0A3A4WR08_9DELT	unreviewed	Type II toxin-antitoxin system VapC family toxin	C4530_09360	Desulfobacteraceae bacterium	128		
NEP02769.1	A0A6B3MGL1	A0A6B3MGL1_9CYAN	unreviewed	Cytochrome P450	F6K58_29790	Symploca sp. SIO2E9	463	"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"	GO:0004497; GO:0005506; GO:0016705; GO:0020037
RUT08253.1	A0A433VQ36	A0A433VQ36_9CYAN	unreviewed	Peptide ABC transporter permease	DSM106972_014210	Calothrix desertica PCC 7102	272	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]	GO:0005886; GO:0016021; GO:0055085
OCQ89943.1	A0A1C0UWN8	A0A1C0UWN8_9NOSO	unreviewed	Uncharacterized protein	BCD64_18560	Nostoc sp. MBR 210	150		
REJ56507.1	A0A3E0MA82	A0A3E0MA82_MICAE	unreviewed	Permease	DWQ56_12450	Microcystis aeruginosa DA14	321	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	GO:0005886; GO:0016021
KFF41329.1	A0A086CGL5	A0A086CGL5_9CHRO	unreviewed	Putative gluconeogenesis factor	ucyna2_00852	Candidatus Atelocyanobacterium thalassa isolate SIO64986	458	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; LPPG:FO 2-phospho-L-lactate transferase activity [GO:0043743]; regulation of cell shape [GO:0008360]	GO:0005737; GO:0008360; GO:0016021; GO:0043743
