"","gene_id","KO","GO.ID","GO.Term","GO.Ontology"
"1259","K01768","K01768","GO:0009190","cyclic nucleotide biosynthetic process","BP"
"1260","K01768","K01768","GO:0035556","intracellular signal transduction","BP"
"1261","K01768","K01768","GO:0005515","protein binding","MF"
"1262","K01768","K01768","GO:0000155","phosphorelay sensor kinase activity","MF"
"1263","K01768","K01768","GO:0005524","ATP binding","MF"
"1264","K02372","K02372","GO:0006633","fatty acid biosynthetic process","BP"
"1265","K02372","K02372","GO:0016836","hydro-lyase activity","MF"
"1266","K01602","K01602","GO:0016984","ribulose-bisphosphate carboxylase activity","MF"
"1267","K16071","K16071","GO:0110102","ribulose bisphosphate carboxylase complex assembly","BP"
"1268","K16071","K16071","GO:0044183","protein folding chaperone","MF"
"1269","K16071","K16071","GO:0015977","carbon fixation","BP"
"1270","K16071","K16071","GO:0015979","photosynthesis","BP"
"1271","K16071","K16071","GO:0031470","carboxysome","CC"
"1272","K01601","K01601","GO:0015977","carbon fixation","BP"
"1273","K01601","K01601","GO:0000287","magnesium ion binding","MF"
"1274","K01601","K01601","GO:0016984","ribulose-bisphosphate carboxylase activity","MF"
"1275","K20206","K20206","GO:0004601","peroxidase activity","MF"
"1276","K01061","K01061","GO:0016787","hydrolase activity","MF"
"1277","K02356","K02356","GO:0006414","translational elongation","BP"
"1278","K02356","K02356","GO:0003746","translation elongation factor activity","MF"
"1279","K02356","K02356","GO:0005737","cytoplasm","CC"
"1280","K02356","K02356","GO:0043043","peptide biosynthetic process","BP"
"1281","K02160","K02160","GO:0006633","fatty acid biosynthetic process","BP"
"1282","K02160","K02160","GO:0003989","acetyl-CoA carboxylase activity","MF"
"1283","K02160","K02160","GO:0009317","acetyl-CoA carboxylase complex","CC"
"1284","K00053","K00053","GO:0009082","branched-chain amino acid biosynthetic process","BP"
"1285","K00053","K00053","GO:0004455","ketol-acid reductoisomerase activity","MF"
"1286","K00053","K00053","GO:0050661","NADP binding","MF"
"1287","K00053","K00053","GO:0016491","oxidoreductase activity","MF"
"1288","K15366","K15366","GO:0005737","cytoplasm","CC"
"1289","K13542","K13542","GO:0019354","siroheme biosynthetic process","BP"
"1290","K13542","K13542","GO:0004852","uroporphyrinogen-III synthase activity","MF"
"1291","K13542","K13542","GO:0008168","methyltransferase activity","MF"
"1292","K13542","K13542","GO:0033014","tetrapyrrole biosynthetic process","BP"
"1293","K13542","K13542","GO:0004851","uroporphyrin-III C-methyltransferase activity","MF"
"1294","K13542","K13542","GO:0032259","methylation","BP"
"1295","K05936","K05936","GO:0009236","cobalamin biosynthetic process","BP"
"1296","K05936","K05936","GO:0032259","methylation","BP"
"1297","K05936","K05936","GO:0046026","precorrin-4 C11-methyltransferase activity","MF"
"1298","K05936","K05936","GO:0008168","methyltransferase activity","MF"
"1299","K04078","K04078","GO:0006457","protein folding","BP"
"1300","K04078","K04078","GO:0005524","ATP binding","MF"
"1301","K04078","K04078","GO:0016887","ATPase activity","MF"
"1302","K04078","K04078","GO:0005737","cytoplasm","CC"
"1303","K04077","K04077","GO:0042026","protein refolding","BP"
"1304","K04077","K04077","GO:0005524","ATP binding","MF"
"1305","K04077","K04077","GO:0016887","ATPase activity","MF"
"1306","K04077","K04077","GO:0051082","unfolded protein binding","MF"
"1307","K04077","K04077","GO:0005737","cytoplasm","CC"
"1308","K01679","K01679","GO:0006099","tricarboxylic acid cycle","BP"
"1309","K01679","K01679","GO:0006106","fumarate metabolic process","BP"
"1310","K01679","K01679","GO:0004333","fumarate hydratase activity","MF"
"1311","K01679","K01679","GO:0045239","tricarboxylic acid cycle enzyme complex","CC"
"1312","K01679","K01679","GO:0003824","catalytic activity","MF"
"1313","K01679","K01679","GO:0016829","lyase activity","MF"
"1314","K15399","K15399","GO:0006313","transposition, DNA-mediated","BP"
"1315","K15399","K15399","GO:0003677","DNA binding","MF"
"1316","K15399","K15399","GO:0004803","transposase activity","MF"
"1317","K02275","K02275","GO:0016020","membrane","CC"
"1318","K02275","K02275","GO:0016021","integral component of membrane","CC"
"1319","K02275","K02275","GO:0022900","electron transport chain","BP"
"1320","K02275","K02275","GO:0004129","cytochrome-c oxidase activity","MF"
"1321","K02275","K02275","GO:0005507","copper ion binding","MF"
"1322","K02275","K02275","GO:0016491","oxidoreductase activity","MF"
"1323","K18573","K18573","GO:0030145","manganese ion binding","MF"
"1324","K18573","K18573","GO:0070006","metalloaminopeptidase activity","MF"
"1325","K00827","K00827","GO:0008483","transaminase activity","MF"
"1326","K00827","K00827","GO:0030170","pyridoxal phosphate binding","MF"
"1327","K00827","K00827","GO:0003824","catalytic activity","MF"
"1328","K07481","K07481","GO:0006313","transposition, DNA-mediated","BP"
"1329","K07481","K07481","GO:0003677","DNA binding","MF"
"1330","K07481","K07481","GO:0004803","transposase activity","MF"
"1331","K07481","K07481","GO:0046872","metal ion binding","MF"
"1332","K02274","K02274","GO:0009060","aerobic respiration","BP"
"1333","K02274","K02274","GO:0015990","electron transport coupled proton transport","BP"
"1334","K02274","K02274","GO:0004129","cytochrome-c oxidase activity","MF"
"1335","K02274","K02274","GO:0020037","heme binding","MF"
"1336","K02274","K02274","GO:0016021","integral component of membrane","CC"
"1337","K02276","K02276","GO:0019646","aerobic electron transport chain","BP"
"1338","K02276","K02276","GO:0004129","cytochrome-c oxidase activity","MF"
"1339","K02276","K02276","GO:0016020","membrane","CC"
"1340","K02276","K02276","GO:0022904","respiratory electron transport chain","BP"
"1341","K02276","K02276","GO:0009055","electron transfer activity","MF"
"1342","K11206","K11206","GO:0006807","nitrogen compound metabolic process","BP"
"1343","K01208","K01208","GO:0005975","carbohydrate metabolic process","BP"
"1344","K01208","K01208","GO:0003824","catalytic activity","MF"
"1345","K02718","K02718","GO:0015979","photosynthesis","BP"
"1346","K02718","K02718","GO:0009539","photosystem II reaction center","CC"
"1347","K02718","K02718","GO:0009523","photosystem II","CC"
"1348","K02718","K02718","GO:0016020","membrane","CC"
"1349","K02718","K02718","GO:0016021","integral component of membrane","CC"
"1350","K02718","K02718","GO:0031676","plasma membrane-derived thylakoid membrane","CC"
"1351","K07738","K07738","GO:0045892","negative regulation of transcription, DNA-templated","BP"
"1352","K07738","K07738","GO:0008270","zinc ion binding","MF"
"1353","K07738","K07738","GO:0003677","DNA binding","MF"
"1354","K07738","K07738","GO:0005524","ATP binding","MF"
"1355","K03498","K03498","GO:0071805","potassium ion transmembrane transport","BP"
"1356","K03498","K03498","GO:0015379","potassium:chloride symporter activity","MF"
"1357","K03498","K03498","GO:0005886","plasma membrane","CC"
"1358","K03498","K03498","GO:0016021","integral component of membrane","CC"
"1359","K03498","K03498","GO:0006812","cation transport","BP"
"1360","K03498","K03498","GO:0055085","transmembrane transport","BP"
"1361","K03498","K03498","GO:0008324","cation transmembrane transporter activity","MF"
"1362","K03499","K03499","GO:0006813","potassium ion transport","BP"
"1363","K03499","K03499","GO:0098655","cation transmembrane transport","BP"
"1364","K03499","K03499","GO:0008324","cation transmembrane transporter activity","MF"
"1365","K01493","K01493","GO:0006220","pyrimidine nucleotide metabolic process","BP"
"1366","K01493","K01493","GO:0004132","dCMP deaminase activity","MF"
"1367","K01493","K01493","GO:0008270","zinc ion binding","MF"
"1368","K01493","K01493","GO:0003824","catalytic activity","MF"
"1369","K01520","K01520","GO:0006226","dUMP biosynthetic process","BP"
"1370","K01520","K01520","GO:0046081","dUTP catabolic process","BP"
"1371","K01520","K01520","GO:0000287","magnesium ion binding","MF"
"1372","K01520","K01520","GO:0004170","dUTP diphosphatase activity","MF"
"1373","K00560","K00560","GO:0016741","transferase activity, transferring one-carbon groups","MF"
"1374","K11520","K11520","GO:0000160","phosphorelay signal transduction system","BP"
"1375","K11520","K11520","GO:0016310","phosphorylation","BP"
"1376","K11520","K11520","GO:0000155","phosphorelay sensor kinase activity","MF"
"1377","K11520","K11520","GO:0016021","integral component of membrane","CC"
"1378","K11520","K11520","GO:0007165","signal transduction","BP"
"1379","K11520","K11520","GO:0016772","transferase activity, transferring phosphorus-containing groups","MF"
"1380","K01929","K01929","GO:0009058","biosynthetic process","BP"
"1381","K01929","K01929","GO:0071555","cell wall organization","BP"
"1382","K01929","K01929","GO:0005524","ATP binding","MF"
"1383","K01929","K01929","GO:0047480","UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity","MF"
"1384","K01929","K01929","GO:0016874","ligase activity","MF"
"1385","K15422","K15422","GO:0006790","sulfur compound metabolic process","BP"
"1386","K15422","K15422","GO:0046855","inositol phosphate dephosphorylation","BP"
"1387","K15422","K15422","GO:0008441","3'(2'),5'-bisphosphate nucleotidase activity","MF"
"1388","K01633","K01633","GO:0006760","folic acid-containing compound metabolic process","BP"
"1389","K01633","K01633","GO:0004150","dihydroneopterin aldolase activity","MF"
"1390","K00456","K00456","GO:0051213","dioxygenase activity","MF"
"1391","K00456","K00456","GO:0005506","iron ion binding","MF"
"1392","K00456","K00456","GO:0016702","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","MF"
"1393","K08999","K08999","GO:0090305","nucleic acid phosphodiester bond hydrolysis","BP"
"1394","K08999","K08999","GO:0004518","nuclease activity","MF"
"1395","K07079","K07079","GO:0047834","D-threo-aldose 1-dehydrogenase activity","MF"
"1396","K07079","K07079","GO:0016491","oxidoreductase activity","MF"
"1397","K01883","K01883","GO:0006418","tRNA aminoacylation for protein translation","BP"
"1398","K01883","K01883","GO:0004812","aminoacyl-tRNA ligase activity","MF"
"1399","K01883","K01883","GO:0005524","ATP binding","MF"
"1400","K01883","K01883","GO:0000166","nucleotide binding","MF"
"1401","K01883","K01883","GO:0006423","cysteinyl-tRNA aminoacylation","BP"
"1402","K01883","K01883","GO:0004817","cysteine-tRNA ligase activity","MF"
"1403","K01883","K01883","GO:0005737","cytoplasm","CC"
"1404","K06118","K06118","GO:0003824","catalytic activity","MF"
"1405","K01014","K01014","GO:0008146","sulfotransferase activity","MF"
"1406","K01021","K01021","GO:0006478","peptidyl-tyrosine sulfation","BP"
"1407","K01021","K01021","GO:0008476","protein-tyrosine sulfotransferase activity","MF"
"1408","K01025","K01025","GO:0008146","sulfotransferase activity","MF"
"1409","K09691","K09691","GO:0005524","ATP binding","MF"
"1410","K09691","K09691","GO:0055085","transmembrane transport","BP"
"1411","K09691","K09691","GO:0140359","ABC-type transporter activity","MF"
"1412","K09691","K09691","GO:0016020","membrane","CC"
"1413","K09691","K09691","GO:0042626","ATPase-coupled transmembrane transporter activity","MF"
"1414","K09691","K09691","GO:0016787","hydrolase activity","MF"
"1415","K03550","K03550","GO:0006281","DNA repair","BP"
"1416","K03550","K03550","GO:0006310","DNA recombination","BP"
"1417","K03550","K03550","GO:0003677","DNA binding","MF"
"1418","K03550","K03550","GO:0005524","ATP binding","MF"
"1419","K03550","K03550","GO:0009378","four-way junction helicase activity","MF"
"1420","K03550","K03550","GO:0009379","Holliday junction helicase complex","CC"
"1421","K03550","K03550","GO:0003678","DNA helicase activity","MF"
"1422","K03118","K03118","GO:0043953","protein transport by the Tat complex","BP"
"1423","K03118","K03118","GO:0008320","protein transmembrane transporter activity","MF"
"1424","K03118","K03118","GO:0005887","integral component of plasma membrane","CC"
"1425","K03118","K03118","GO:0033281","TAT protein transport complex","CC"
"1426","K03118","K03118","GO:0016021","integral component of membrane","CC"
"1427","K03118","K03118","GO:0016020","membrane","CC"
"1428","K01191","K01191","GO:0006013","mannose metabolic process","BP"
"1429","K01191","K01191","GO:0004559","alpha-mannosidase activity","MF"
"1430","K01191","K01191","GO:0030246","carbohydrate binding","MF"
"1431","K01191","K01191","GO:0005975","carbohydrate metabolic process","BP"
"1432","K01191","K01191","GO:0003824","catalytic activity","MF"
"1433","K16422","K16422","GO:0008299","isoprenoid biosynthetic process","BP"
"1434","K16422","K16422","GO:0004452","isopentenyl-diphosphate delta-isomerase activity","MF"
"1435","K16422","K16422","GO:0010181","FMN binding","MF"
"1436","K16422","K16422","GO:0016491","oxidoreductase activity","MF"
"1437","K16422","K16422","GO:0003824","catalytic activity","MF"
"1438","K01069","K01069","GO:0019243","methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione","BP"
"1439","K01069","K01069","GO:0004416","hydroxyacylglutathione hydrolase activity","MF"
"1440","K02234","K02234","GO:0009236","cobalamin biosynthetic process","BP"
"1441","K06381","K06381","GO:0030435","sporulation resulting in formation of a cellular spore","BP"
"1442","K00772","K00772","GO:0006166","purine ribonucleoside salvage","BP"
"1443","K00772","K00772","GO:0019509","L-methionine salvage from methylthioadenosine","BP"
"1444","K00772","K00772","GO:0017061","S-methyl-5-thioadenosine phosphorylase activity","MF"
"1445","K00772","K00772","GO:0009116","nucleoside metabolic process","BP"
"1446","K00772","K00772","GO:0003824","catalytic activity","MF"
"1447","K00996","K00996","GO:0016740","transferase activity","MF"
"1448","K00996","K00996","GO:0016021","integral component of membrane","CC"
"1449","K00996","K00996","GO:0006355","regulation of transcription, DNA-templated","BP"
"1450","K00996","K00996","GO:0043856","anti-sigma factor antagonist activity","MF"
"1451","K01711","K01711","GO:0019673","GDP-mannose metabolic process","BP"
"1452","K01711","K01711","GO:0008446","GDP-mannose 4,6-dehydratase activity","MF"
"1453","K02377","K02377","GO:0009226","nucleotide-sugar biosynthetic process","BP"
"1454","K02377","K02377","GO:0016491","oxidoreductase activity","MF"
"1455","K02377","K02377","GO:0003824","catalytic activity","MF"
"1456","K02377","K02377","GO:0016853","isomerase activity","MF"
"1457","K02377","K02377","GO:0042351","'de novo' GDP-L-fucose biosynthetic process","BP"
"1458","K02377","K02377","GO:0050577","GDP-L-fucose synthase activity","MF"
"1459","K02377","K02377","GO:0070401","NADP+ binding","MF"
"1460","K15825","K15825","GO:0005509","calcium ion binding","MF"
"1461","K03798","K03798","GO:0006508","proteolysis","BP"
"1462","K03798","K03798","GO:0004176","ATP-dependent peptidase activity","MF"
"1463","K03798","K03798","GO:0004222","metalloendopeptidase activity","MF"
"1464","K03798","K03798","GO:0005524","ATP binding","MF"
"1465","K03798","K03798","GO:0016020","membrane","CC"
"1466","K03798","K03798","GO:0016021","integral component of membrane","CC"
"1467","K03798","K03798","GO:0008270","zinc ion binding","MF"
"1468","K03798","K03798","GO:0016887","ATPase activity","MF"
"1469","K03798","K03798","GO:0030163","protein catabolic process","BP"
"1470","K03798","K03798","GO:0051301","cell division","BP"
"1471","K03798","K03798","GO:0031676","plasma membrane-derived thylakoid membrane","CC"
"1472","K09561","K09561","GO:0005515","protein binding","MF"
"1473","K02501","K02501","GO:0000105","histidine biosynthetic process","BP"
"1474","K02501","K02501","GO:0016763","transferase activity, transferring pentosyl groups","MF"
"1475","K01127","K01127","GO:0007155","cell adhesion","BP"
"1476","K01127","K01127","GO:0008305","integrin complex","CC"
"1477","K01127","K01127","GO:0005509","calcium ion binding","MF"
"1478","K01127","K01127","GO:0016020","membrane","CC"
"1479","K01127","K01127","GO:0007154","cell communication","BP"
"1480","K01127","K01127","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","BP"
"1481","K01127","K01127","GO:0016021","integral component of membrane","CC"
"1482","K06871","K06871","GO:0016491","oxidoreductase activity","MF"
"1483","K06871","K06871","GO:0051536","iron-sulfur cluster binding","MF"
"1484","K06871","K06871","GO:0003824","catalytic activity","MF"
"1485","K00606","K00606","GO:0015940","pantothenate biosynthetic process","BP"
"1486","K00606","K00606","GO:0032259","methylation","BP"
"1487","K00606","K00606","GO:0003864","3-methyl-2-oxobutanoate hydroxymethyltransferase activity","MF"
"1488","K00606","K00606","GO:0008168","methyltransferase activity","MF"
"1489","K00606","K00606","GO:0046872","metal ion binding","MF"
"1490","K00606","K00606","GO:0005737","cytoplasm","CC"
"1491","K00606","K00606","GO:0003824","catalytic activity","MF"
"1492","K03428","K03428","GO:0015995","chlorophyll biosynthetic process","BP"
"1493","K03428","K03428","GO:0046406","magnesium protoporphyrin IX methyltransferase activity","MF"
"1494","K20074","K20074","GO:0016311","dephosphorylation","BP"
"1495","K20074","K20074","GO:0016791","phosphatase activity","MF"
"1496","K20074","K20074","GO:0006470","protein dephosphorylation","BP"
"1497","K20074","K20074","GO:0016539","intein-mediated protein splicing","BP"
"1498","K20074","K20074","GO:0004722","protein serine/threonine phosphatase activity","MF"
"1499","K20074","K20074","GO:0106306","protein serine phosphatase activity","MF"
"1500","K20074","K20074","GO:0106307","protein threonine phosphatase activity","MF"
"1501","K20074","K20074","GO:0046872","metal ion binding","MF"
"1502","K20074","K20074","GO:0016021","integral component of membrane","CC"
"1503","K16536","K16536","GO:0010027","thylakoid membrane organization","BP"
"1504","K00218","K00218","GO:0016630","protochlorophyllide reductase activity","MF"
"1505","K00218","K00218","GO:0016491","oxidoreductase activity","MF"
"1506","K13010","K13010","GO:0003824","catalytic activity","MF"
"1507","K02428","K02428","GO:0009117","nucleotide metabolic process","BP"
"1508","K02428","K02428","GO:0009146","purine nucleoside triphosphate catabolic process","BP"
"1509","K02428","K02428","GO:0000166","nucleotide binding","MF"
"1510","K02428","K02428","GO:0017111","nucleoside-triphosphatase activity","MF"
"1511","K02428","K02428","GO:0035870","dITP diphosphatase activity","MF"
"1512","K02428","K02428","GO:0036220","ITP diphosphatase activity","MF"
"1513","K02428","K02428","GO:0036222","XTP diphosphatase activity","MF"
"1514","K02428","K02428","GO:0046872","metal ion binding","MF"
"1515","K02428","K02428","GO:0009143","nucleoside triphosphate catabolic process","BP"
"1516","K02428","K02428","GO:0047429","nucleoside-triphosphate diphosphatase activity","MF"
"1517","K03111","K03111","GO:0006260","DNA replication","BP"
"1518","K03111","K03111","GO:0003697","single-stranded DNA binding","MF"
"1519","K18843","K18843","GO:0006355","regulation of transcription, DNA-templated","BP"
"1520","K18831","K18831","GO:0006355","regulation of transcription, DNA-templated","BP"
"1521","K18831","K18831","GO:0003677","DNA binding","MF"
"1522","K19166","K19166","GO:0016788","hydrolase activity, acting on ester bonds","MF"
"1523","K07451","K07451","GO:0003676","nucleic acid binding","MF"
"1524","K07451","K07451","GO:0004519","endonuclease activity","MF"
"1525","K07451","K07451","GO:0090305","nucleic acid phosphodiester bond hydrolysis","BP"
"1526","K02355","K02355","GO:0006414","translational elongation","BP"
"1527","K02355","K02355","GO:0003746","translation elongation factor activity","MF"
"1528","K02355","K02355","GO:0003924","GTPase activity","MF"
"1529","K02355","K02355","GO:0005525","GTP binding","MF"
"1530","K02355","K02355","GO:0005737","cytoplasm","CC"
"1531","K01881","K01881","GO:0006433","prolyl-tRNA aminoacylation","BP"
"1532","K01881","K01881","GO:0106074","aminoacyl-tRNA metabolism involved in translational fidelity","BP"
"1533","K01881","K01881","GO:0002161","aminoacyl-tRNA editing activity","MF"
"1534","K01881","K01881","GO:0004827","proline-tRNA ligase activity","MF"
"1535","K01881","K01881","GO:0005524","ATP binding","MF"
"1536","K01881","K01881","GO:0005737","cytoplasm","CC"
"1537","K01881","K01881","GO:0006418","tRNA aminoacylation for protein translation","BP"
"1538","K01881","K01881","GO:0000166","nucleotide binding","MF"
"1539","K01881","K01881","GO:0004812","aminoacyl-tRNA ligase activity","MF"
"1540","K15226","K15226","GO:0006571","tyrosine biosynthetic process","BP"
"1541","K15226","K15226","GO:0004665","prephenate dehydrogenase (NADP+) activity","MF"
"1542","K15226","K15226","GO:0008977","prephenate dehydrogenase (NAD+) activity","MF"
"1543","K15226","K15226","GO:0033730","arogenate dehydrogenase (NADP+) activity","MF"
"1544","K00859","K00859","GO:0015937","coenzyme A biosynthetic process","BP"
"1545","K00859","K00859","GO:0004140","dephospho-CoA kinase activity","MF"
"1546","K00859","K00859","GO:0005524","ATP binding","MF"
"1547","K08744","K08744","GO:0008654","phospholipid biosynthetic process","BP"
"1548","K08744","K08744","GO:0008444","CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity","MF"
"1549","K08744","K08744","GO:0016021","integral component of membrane","CC"
"1550","K08744","K08744","GO:0016780","phosphotransferase activity, for other substituted phosphate groups","MF"
"1551","K08744","K08744","GO:0016020","membrane","CC"
"1552","K09835","K09835","GO:0016117","carotenoid biosynthetic process","BP"
"1553","K09835","K09835","GO:0016491","oxidoreductase activity","MF"
"1554","K09835","K09835","GO:0046608","carotenoid isomerase activity","MF"
"1555","K02619","K02619","GO:0003824","catalytic activity","MF"
"1556","K02619","K02619","GO:0016829","lyase activity","MF"
"1557","K13001","K13001","GO:0016757","transferase activity, transferring glycosyl groups","MF"
"1558","K00059","K00059","GO:0016491","oxidoreductase activity","MF"
"1559","K00059","K00059","GO:0006633","fatty acid biosynthetic process","BP"
"1560","K00059","K00059","GO:0004316","3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity","MF"
"1561","K00059","K00059","GO:0051287","NAD binding","MF"
"1562","K00058","K00058","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","MF"
"1563","K00058","K00058","GO:0051287","NAD binding","MF"
"1564","K13002","K13002","GO:0016740","transferase activity","MF"
"1565","K02705","K02705","GO:0009772","photosynthetic electron transport in photosystem II","BP"
"1566","K02705","K02705","GO:0018298","protein-chromophore linkage","BP"
"1567","K02705","K02705","GO:0016168","chlorophyll binding","MF"
"1568","K02705","K02705","GO:0045156","electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity","MF"
"1569","K02705","K02705","GO:0046872","metal ion binding","MF"
"1570","K02705","K02705","GO:0009523","photosystem II","CC"
"1571","K02705","K02705","GO:0016021","integral component of membrane","CC"
"1572","K02705","K02705","GO:0031676","plasma membrane-derived thylakoid membrane","CC"
"1573","K02705","K02705","GO:0009767","photosynthetic electron transport chain","BP"
"1574","K02705","K02705","GO:0015979","photosynthesis","BP"
"1575","K02705","K02705","GO:0019684","photosynthesis, light reaction","BP"
"1576","K02705","K02705","GO:0009521","photosystem","CC"
"1577","K02705","K02705","GO:0016020","membrane","CC"
"1578","K02706","K02706","GO:0009772","photosynthetic electron transport in photosystem II","BP"
"1579","K02706","K02706","GO:0045156","electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity","MF"
"1580","K02706","K02706","GO:0009523","photosystem II","CC"
"1581","K02706","K02706","GO:0015979","photosynthesis","BP"
"1582","K02706","K02706","GO:0019684","photosynthesis, light reaction","BP"
"1583","K02706","K02706","GO:0016020","membrane","CC"
"1584","K15445","K15445","GO:0016020","membrane","CC"
"1585","K15445","K15445","GO:0016021","integral component of membrane","CC"
"1586","K01423","K01423","GO:0006508","proteolysis","BP"
"1587","K01423","K01423","GO:0004222","metalloendopeptidase activity","MF"
"1588","K16052","K16052","GO:0055085","transmembrane transport","BP"
"1589","K16052","K16052","GO:0016020","membrane","CC"
"1590","K16052","K16052","GO:0005886","plasma membrane","CC"
"1591","K16052","K16052","GO:0016021","integral component of membrane","CC"
"1592","K00275","K00275","GO:0008615","pyridoxine biosynthetic process","BP"
"1593","K00275","K00275","GO:0004733","pyridoxamine-phosphate oxidase activity","MF"
"1594","K00275","K00275","GO:0010181","FMN binding","MF"
"1595","K03060","K03060","GO:0006351","transcription, DNA-templated","BP"
"1596","K03060","K03060","GO:0003677","DNA binding","MF"
"1597","K03060","K03060","GO:0003899","DNA-directed 5'-3' RNA polymerase activity","MF"
"1598","K13290","K13290","GO:0003824","catalytic activity","MF"
"1599","K00830","K00830","GO:0003824","catalytic activity","MF"
"1600","K04097","K04097","GO:0006749","glutathione metabolic process","BP"
"1601","K04097","K04097","GO:0005515","protein binding","MF"
"1602","K04097","K04097","GO:0016740","transferase activity","MF"
"1603","K11209","K11209","GO:0006749","glutathione metabolic process","BP"
"1604","K11209","K11209","GO:0005515","protein binding","MF"
"1605","K21903","K21903","GO:0006355","regulation of transcription, DNA-templated","BP"
"1606","K21903","K21903","GO:0003700","DNA-binding transcription factor activity","MF"
"1607","K09133","K09133","GO:0016020","membrane","CC"
"1608","K09133","K09133","GO:0016021","integral component of membrane","CC"
"1609","K03086","K03086","GO:0001123","transcription initiation from bacterial-type RNA polymerase promoter","BP"
"1610","K03086","K03086","GO:2000142","regulation of DNA-templated transcription, initiation","BP"
"1611","K03086","K03086","GO:0003677","DNA binding","MF"
"1612","K03086","K03086","GO:0016987","sigma factor activity","MF"
"1613","K03086","K03086","GO:0005737","cytoplasm","CC"
"1614","K03086","K03086","GO:0006352","DNA-templated transcription, initiation","BP"
"1615","K03086","K03086","GO:0006355","regulation of transcription, DNA-templated","BP"
"1616","K03086","K03086","GO:0003700","DNA-binding transcription factor activity","MF"
"1617","K03535","K03535","GO:0016020","membrane","CC"
"1618","K03535","K03535","GO:0016021","integral component of membrane","CC"
"1619","K03699","K03699","GO:0050660","flavin adenine dinucleotide binding","MF"
"1620","K03699","K03699","GO:0016021","integral component of membrane","CC"
"1621","K03070","K03070","GO:0006605","protein targeting","BP"
"1622","K03070","K03070","GO:0017038","protein import","BP"
"1623","K03070","K03070","GO:0065002","intracellular protein transmembrane transport","BP"
"1624","K03070","K03070","GO:0005524","ATP binding","MF"
"1625","K03070","K03070","GO:0031676","plasma membrane-derived thylakoid membrane","CC"
"1626","K03070","K03070","GO:0006886","intracellular protein transport","BP"
"1627","K03070","K03070","GO:0016020","membrane","CC"
"1628","K03892","K03892","GO:0006355","regulation of transcription, DNA-templated","BP"
"1629","K03892","K03892","GO:0003700","DNA-binding transcription factor activity","MF"
"1630","K13051","K13051","GO:0016787","hydrolase activity","MF"
"1631","K01934","K01934","GO:0005524","ATP binding","MF"
"1632","K01934","K01934","GO:0030272","5-formyltetrahydrofolate cyclo-ligase activity","MF"
"1633","K01934","K01934","GO:0046872","metal ion binding","MF"
"1634","K02316","K02316","GO:0006269","DNA replication, synthesis of RNA primer","BP"
"1635","K02316","K02316","GO:0003677","DNA binding","MF"
"1636","K02316","K02316","GO:0003896","DNA primase activity","MF"
"1637","K02316","K02316","GO:0008270","zinc ion binding","MF"
"1638","K02316","K02316","GO:0006260","DNA replication","BP"
"1639","K02316","K02316","GO:0005524","ATP binding","MF"
"1640","K02316","K02316","GO:0016787","hydrolase activity","MF"
"1641","K00555","K00555","GO:0008033","tRNA processing","BP"
"1642","K00555","K00555","GO:0003723","RNA binding","MF"
"1643","K00555","K00555","GO:0004809","tRNA (guanine-N2-)-methyltransferase activity","MF"
"1644","K00555","K00555","GO:0000049","tRNA binding","MF"
"1645","K06998","K06998","GO:0009058","biosynthetic process","BP"
"1646","K06998","K06998","GO:0003824","catalytic activity","MF"
"1647","K15270","K15270","GO:0016021","integral component of membrane","CC"
"1648","K15270","K15270","GO:0016020","membrane","CC"
"1649","K03542","K03542","GO:0016021","integral component of membrane","CC"
"1650","K03856","K03856","GO:0009073","aromatic amino acid family biosynthetic process","BP"
"1651","K03856","K03856","GO:0016832","aldehyde-lyase activity","MF"
"1652","K03856","K03856","GO:0009058","biosynthetic process","BP"
"1653","K03856","K03856","GO:0003824","catalytic activity","MF"
"1654","K09816","K09816","GO:0055085","transmembrane transport","BP"
"1655","K09816","K09816","GO:0042626","ATPase-coupled transmembrane transporter activity","MF"
"1656","K09816","K09816","GO:0005887","integral component of plasma membrane","CC"
"1657","K09816","K09816","GO:0043190","ATP-binding cassette (ABC) transporter complex","CC"
"1658","K09817","K09817","GO:0005524","ATP binding","MF"
"1659","K09815","K09815","GO:0030001","metal ion transport","BP"
"1660","K09815","K09815","GO:0046872","metal ion binding","MF"
"1661","K03711","K03711","GO:0006355","regulation of transcription, DNA-templated","BP"
"1662","K03711","K03711","GO:0003700","DNA-binding transcription factor activity","MF"
"1663","K01582","K01582","GO:0003824","catalytic activity","MF"
"1664","K04773","K04773","GO:0006508","proteolysis","BP"
"1665","K04773","K04773","GO:0008233","peptidase activity","MF"
"1666","K04773","K04773","GO:0006465","signal peptide processing","BP"
"1667","K04773","K04773","GO:0016021","integral component of membrane","CC"
